SomaID	num_samples	BETA	SE	P	TargetFullName	Target	UniProt	EntrezGeneID	EntrezGeneSymbol
X10363.13	2789	-0.0335656375033314	0.0344800341221053	0.330399965600005	Mothers against decapentaplegic homolog 3	SMAD3	P84022	4088	SMAD3
X10364.6	3053	0.049372957682686	0.0327256262763976	0.131481556224364	Mothers against decapentaplegic homolog 2	SMAD2	Q15796	4087	SMAD2
X10365.132	3015	0.0440284937458418	0.0335497638790047	0.189508453406774	Interleukin-23	IL-23	P29460|Q9NPF7	3593|51561	IL12B|IL23A
X10366.11	3064	0.0339700436815529	0.0328878623997943	0.301730650510991	Platelet-derived growth factor receptor alpha	PDGFRA	P16234	5156	PDGFRA
X10367.62	3058	0.0659865251183942	0.0335111966371443	0.049033994258251	Interleukin-12	IL-12	P29459|P29460	3592|3593	IL12A|IL12B
X10370.21	3017	-0.0135997970383435	0.0326482864462022	0.677034102469853	Signal transducer and activator of transcription 1-alpha/beta	STAT1	P42224	6772	STAT1
X10372.18	3023	-0.0120761503334563	0.0294412599597614	0.681704924828043	Signal transducer and activator of transcription 6	STAT6	P42226	6778	STAT6
X10382.1	2882	0.0792081873702629	0.032876824262103	0.0160487589933864	Angiopoietin-related protein 3	ANGL3	Q9Y5C1	27329	ANGPTL3
X10390.21	3040	-0.0318192105041628	0.0328151662612978	0.332299175070306	E3 ubiquitin-protein ligase ZNRF3	ZNRF3	Q9ULT6	84133	ZNRF3
X10391.1	3062	0.0739119830676533	0.0318038122311307	0.0201914397681118	Angiopoietin-related protein 3	ANGL3	Q9Y5C1	27329	ANGPTL3
X10396.6	3050	0.00606392680822099	0.0324228028445955	0.851652342917702	Induced myeloid leukemia cell differentiation protein Mcl-1	Mcl-1	Q07820	4170	MCL1
X10398.110	2879	-0.0143444047770918	0.0345403044993926	0.677957477894847	Ankyrin repeat domain-containing protein 1	ANKR1	Q15327	27063	ANKRD1
X10418.36	3068	0.00792647312987025	0.0320711285326918	0.804806589290549	Syntaxin-12	STX12	Q86Y82	23673	STX12
X10419.1	3025	0.0387632765756009	0.032911389679339	0.238967060640738	Scavenger receptor class A member 5	SCAR5	Q6ZMJ2	286133	SCARA5
X10420.30	2878	0.0226791443201863	0.0312719605704735	0.46837485217393	Fas apoptotic inhibitory molecule 1	FAIM1	Q9NVQ4	55179	FAIM
X10425.3	3055	-0.0163490387349782	0.0332933712005205	0.623419745290878	Beta-1,4-galactosyltransferase 5	B4GT5	O43286	9334	B4GALT5
X10428.1	3014	-0.0129540191497712	0.0320196739357513	0.685826770034575	Killer cell immunoglobulin-like receptor 2DS2	KI2S2	P43631	100132285	KIR2DS2
X10430.31	3041	0.00475849983145118	0.0313626553165536	0.879413985755686	4F2 cell-surface antigen heavy chain:Cytoplasmic domain	4F2:CD	P08195	6520	SLC3A2
X10432.3	3058	-0.0314494040004833	0.0329018484118728	0.339221733039359	Uncharacterized protein KIAA1644	K1644	Q3SXP7	85352	SHISAL1
X10435.2	3046	-0.00919839419933856	0.0332602030108749	0.782138043078615	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase	ASPG	P20933	175	AGA
X10438.19	3082	-0.0109019004534419	0.0328933928403114	0.740341484167199	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha	CSF2R	P15509	1438	CSF2RA
X10439.57	2869	0.029413388795902	0.0320200146225829	0.358386107416995	Alpha-amylase 2B	Alpha-amylase 2B	P19961	280	AMY2B
X10440.26	3066	-0.0139666717669731	0.0324605256625795	0.667032464452616	CXADR-like membrane protein:Extracellular domain	ACAM:ECD	Q9H6B4	79827	CLMP
X10442.1	3049	0.00520623980686602	0.0333244982954812	0.875863284278073	Transmembrane protein 190	TM190	Q8WZ59	147744	TMEM190
X10445.20	3033	0.0424175499220595	0.0325835511350853	0.193081709166567	Apolipoprotein M	ApoM	O95445	55937	APOM
X10447.18	3039	-0.0612545098433429	0.0328778303220725	0.0625463780136329	Polyadenylate-binding protein 3	PABP3	Q9H361	5042	PABPC3
X10449.31	3025	0.000644211407308153	0.0330369707016147	0.984443766721567	Protein shisa-2 homolog	TMM46	Q6UWI4	387914	SHISA2
X10451.11	3046	0.00556709710951909	0.0330289393785034	0.866160269296702	Nucleobindin-1	NUCB1	Q02818	4924	NUCB1
X10453.7	3042	0.0156677708062718	0.0331849220897952	0.63686449325388	Carcinoembryonic antigen-related cell adhesion molecule 20	CEA20	Q6UY09	125931	CEACAM20
X10454.99	2877	-0.00477442915859646	0.0338109841435044	0.887714505497506	DnaJ homolog subfamily C member 16	DJC16	Q9Y2G8	23341	DNAJC16
X10455.196	3021	0.0601112532005918	0.0334314270850693	0.0722705484252683	Interleukin-31	IL-31	Q6EBC2	386653	IL31
X10457.3	2867	0.0375164754874261	0.03361900725048	0.264546429585215	Interleukin-18 receptor accessory protein	IL-18 Rb	O95256	8807	IL18RAP
X10462.14	3065	0.00382589610391775	0.0330878866981685	0.907954787365156	Insulin-like peptide INSL5	INSL5	Q9Y5Q6	10022	INSL5
X10463.23	2905	0.0116118521829167	0.0325861776859309	0.721609962297679	Intestinal-type alkaline phosphatase	Alkaline phosphatase, intestine	P09923	248	ALPI
X10464.6	3052	0.0766256304664047	0.0328415712689339	0.0197034946109721	Anthrax toxin receptor 1	ANTR1	Q9H6X2	84168	ANTXR1
X10472.53	2882	0.0422987007060459	0.0317711985700097	0.183179120228799	Tumor necrosis factor receptor superfamily member 14	HVEM	Q92956	8764	TNFRSF14
X10473.2	2877	0.02699161853178	0.0338076652274463	0.424712249271844	Trefoil factor 2	Trefoil factor 2	Q03403	7032	TFF2
X10479.18	2836	0.0471500317011798	0.0335764003970765	0.160351836848621	Stromelysin-2	MMP-10	P09238	4319	MMP10
X10480.33	2823	0.0241816877418819	0.0338533540162592	0.475097077644946	CD59 glycoprotein	CD59	P13987	966	CD59
X10490.3	3064	0.0326593649723933	0.0319034366016766	0.306061373317962	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1:Cytoplasmic domain	RPN1:CD	P04843	6184	RPN1
X10496.11	3043	-0.0446197690412339	0.0325385972886902	0.170387561987838	Calcium-activated chloride channel regulator 1	CaCC	A8K7I4	1179	CLCA1
X10499.1	3053	-0.0311570759571489	0.0328569183069077	0.343070250876318	Transmembrane protein 106A	T106A	Q96A25	113277	TMEM106A
X10505.12	2822	-0.0281827331079424	0.0341174503779708	0.40884611496467	E3 ubiquitin-protein ligase RNF43	RNF43	Q68DV7	54894	RNF43
X10506.53	3036	-0.00156072757519785	0.0325981217926973	0.96181678499369	Membrane-associated progesterone receptor component 2	PGRC2	O15173	10424	PGRMC2
X10507.166	3005	-0.0164893624684436	0.0339692772695503	0.627414302505262	Acrosomal protein SP-10	sperm protein 10	P26436	56	ACRV1
X10510.62	3053	-0.00135594496706309	0.0334080240680567	0.96762750810364	SLP adapter and CSK-interacting membrane protein	SCIMP	Q6UWF3	388325	SCIMP
X10512.13	3042	0.0177506444492443	0.0334760655007577	0.595978534893985	Cytokine receptor common subunit beta:Extracellular domain	IL3RB:ECD	P32927	1439	CSF2RB
X10513.13	3005	0.0335030350218564	0.0329115478113876	0.308774053927924	Calsenilin	CSEN	Q9Y2W7	30818	KCNIP3
X10514.5	3052	-0.0172927154924233	0.0300175820057579	0.564599829354319	Prostaglandin-H2 D-isomerase	PGD2 synthase	P41222	5730	PTGDS
X10521.10	3075	0.0367673952149878	0.0285695253094006	0.19821149789612	Matrix-remodeling-associated protein 8:Extracellular domain	MXRA8:ECD	Q9BRK3	54587	MXRA8
X10527.22	2898	0.0261960123503118	0.0339079484427568	0.439844975433762	ATP-dependent RNA helicase A	DHX9	Q08211	1660	DHX9
X10528.2	2892	0.0290455921812999	0.0337276728586809	0.389211163722249	Dipeptidase 1	DPEP1	P16444	1800	DPEP1
X10530.8	3030	0.0478087674408706	0.0322720674312109	0.138597457179862	Proteasome subunit beta type-6	PSB6	P28072	5694	PSMB6
X10531.18	3042	-0.0176862486179962	0.0332016323353639	0.594286028948876	GTPase NRas	RASN	P01111	4893	NRAS
X10534.40	3020	0.0365461773916289	0.0331605896093315	0.270508382971144	Poly [ADP-ribose] polymerase 1:BRCA1 C-terminal:BRCA1 C-terminus domian	PARP:BRCT domain	P09874	142	PARP1
X10539.30	3055	-0.0135331759593694	0.0317485766345464	0.669948115307193	CD99 antigen-like protein 2	C99L2	Q8TCZ2	83692	CD99L2
X10546.2	3045	0.00126429466730021	0.0318064797064114	0.968295395819685	Thrombospondin-type laminin G domain and EAR repeat-containing protein	TSEAR	Q8WU66	54084	TSPEAR
X10550.37	3041	0.043375165790552	0.033230019707987	0.191890297978502	Bone morphogenetic protein receptor type-1B	BMP RIB	O00238	658	BMPR1B
X10551.7	2948	-0.00741850244973958	0.0329842610807921	0.822064758872181	Linker for activation of T-cells family member 1	LAT	O43561	27040	LAT
X10552.88	3029	0.00236046260813917	0.0333245837218618	0.943535814621832	NKG2-F type II integral membrane protein	NKG2F	O43908	8302	KLRC4
X10553.8	3061	0.0279296432491117	0.0312953674100081	0.372221088713943	Torsin-1A-interacting protein 2	TOIP2	Q8NFQ8	163590	TOR1AIP2
X10557.6	3028	-0.00577725347746917	0.0293817776198646	0.844132704986325	Testis-expressed sequence 29 protein	TEX29	Q8N6K0	121793	TEX29
X10558.26	3079	-0.00184779097194381	0.0328311504901044	0.955121135443374	Protocadherin-9	PCDH9	Q9HC56	5101	PCDH9
X10560.1	2872	-0.0059175459584149	0.0310939025488826	0.849078172567491	Integral membrane protein 2C:N-term	ITM2C:N-term	Q9NQX7	81618	ITM2C
X10561.5	3036	0.00237997893379802	0.0313331386225976	0.939458170219276	Peptidoglycan recognition protein 3	PGRP-I-alpha	Q96LB9	114771	PGLYRP3
X10562.42	3047	0.00112920478283891	0.0304776649327669	0.970447400754558	Neuropilin and tolloid-like protein 2	NETO2	Q8NC67	81831	NETO2
X10563.13	3054	0.0239748532172074	0.0329128048767173	0.466403521493815	LysM and putative peptidoglycan-binding domain-containing protein 3	LYSM3	Q7Z3D4	116068	LYSMD3
X10565.19	3078	-0.00227229147071226	0.0324618942936858	0.944199263055206	SLIT and NTRK-like protein 3	SLIK3	O94933	22865	SLITRK3
X10569.28	3060	0.01633416404752	0.0325982039571638	0.616354352758095	Microfibrillar-associated protein 2	MFAP2	P55001	4237	MFAP2
X10571.14	3061	0.0450749404372288	0.0315981407951839	0.153825369061467	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	MGAT1	P26572	4245	MGAT1
X10572.65	3081	0.0103845597549443	0.0329403019538691	0.752590432897517	Cystatin-8	CST8	O60676	10047	CST8
X10574.10	3034	0.0848270026219576	0.0330681864965367	0.0103593655025825	Beta-2-microglobulin	b2-Microglobulin	P61769	567	B2M
X10575.31	3053	0.0279242380255128	0.0316064963106008	0.377038217321444	Poly(U)-binding-splicing factor PUF60	PUF60	Q9UHX1	22827	PUF60
X10576.7	2899	0.0536091432463584	0.0327050418246434	0.101287411789297	Plexin domain-containing protein 2:Extracellular domain	PXDC2:ECD	Q6UX71	84898	PLXDC2
X10580.14	3062	0.0266394785486122	0.0319623980710791	0.404649309926043	Surfactant-associated protein 2	SFTA2	Q6UW10	389376	SFTA2
X10582.36	3063	0.0212488846799213	0.0317878796821125	0.503891739105879	Protein O-mannose kinase	SG196	Q9H5K3	84197	POMK
X10583.1	3024	0.0782774602564833	0.0332654966829875	0.0186813843129287	Transmembrane protein 108	TM108	Q6UXF1	66000	TMEM108
X10584.7	3049	0.0217443010902194	0.032130059036294	0.498610866789441	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	NDUS4	O43181	4724	NDUFS4
X10588.39	3035	0.0090378388419177	0.0333424540792123	0.78636274873328	Lactosylceramide alpha-2,3-sialyltransferase	SIAT9	Q9UNP4	8869	ST3GAL5
X10589.7	3019	-0.0235083915105463	0.0323588932432383	0.467595755114021	Retinoic acid early transcript 1L protein	RET1L	Q5VY80	154064	RAET1L
X10605.22	3062	0.046437766731176	0.0326181296427068	0.15464219610364	Adipocyte plasma membrane-associated protein	APMAP	Q9HDC9	57136	APMAP
X10606.34	3071	0.0189466149375232	0.0314076676740743	0.546388690735533	Torsin-1A-interacting protein 1:Perinuclear domain	TOIP1:Perinuclear	Q5JTV8	26092	TOR1AIP1
X10608.9	3048	0.00810436442374475	0.0324387071556993	0.8027310123952	Histatin-1	HIS1	P15515	3346	HTN1
X10612.18	3030	0.0209811984299575	0.0329449746540969	0.52426739470767	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3	PLOD3	O60568	8985	PLOD3
X10613.33	3059	-0.00146223273156981	0.0323447853001481	0.963944754045109	Protein CASC4	CASC4	Q6P4E1	113201	GOLM2
X10615.18	3048	0.0189474239644176	0.0303293051531876	0.532199927133639	Myelin protein P0	MYP0	P25189	4359	MPZ
X10616.67	3017	0.0308604969775487	0.0329708795541246	0.349352749485025	Podocalyxin-like protein 2	PDXL2	Q9NZ53	50512	PODXL2
X10618.190	3041	0.0482952315280364	0.033135973584421	0.145086508997629	Low-density lipoprotein receptor-related protein 2	megalin	P98164	4036	LRP2
X10620.21	3029	0.0327290079100067	0.0294824479339792	0.267037070063564	Beta-microseminoprotein	PSP-94	P08118	4477	MSMB
X10621.26	3060	0.03107844232616	0.0325678494187814	0.340024394345662	Protein Largen	PRR16	Q569H4	51334	PRR16
X10623.19	3056	0.0295310798508633	0.0322811133699363	0.360364410468421	Mucin-1:region 1	MUC1:region 1	P15941	4582	MUC1
X10624.45	3053	-0.0318608678063055	0.032840039848268	0.332032655672571	Serine protease inhibitor Kazal-type 13	ISK13	Q1W4C9	153218	SPINK13
X10626.116	2882	-0.0413135273051766	0.0321660504599159	0.199112343999656	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	SIA7C	Q8NDV1	256435	ST6GALNAC3
X10627.87	3070	-0.0239747600760613	0.0327160352176508	0.463728576774257	Amyloid-like protein 2	APLP2	Q06481	334	APLP2
X10630.5	3029	-0.014453751383156	0.0318383177955357	0.649880799332409	Oxidoreductase HTATIP2	HTAI2	Q9BUP3	10553	HTATIP2
X10631.9	2875	-0.0156970541422237	0.0321203804671407	0.625095659299579	Membrane-associated progesterone receptor component 2	PGRC2	O15173	10424	PGRMC2
X10636.1	2878	0.0164708561209207	0.0325112499571727	0.612460560239437	Cell surface glycoprotein CD200 receptor 1:Isoform 4, Cytoplasmic Domain	MO2R1:CD	Q8TD46	131450	CD200R1
X10637.50	3062	0.0109198619768935	0.0315735503744875	0.729475896810661	UPF0577 protein KIAA1324:Extracellular domain	K1324:ECD	Q6UXG2	57535	ELAPOR1
X10638.1	3026	0.0576833094319875	0.0311148747747162	0.0638543181177368	TERF1-interacting nuclear factor 2	TINF2	Q9BSI4	26277	TINF2
X10643.16	2852	-0.0207130125666287	0.0338689335702816	0.540875696905187	Noelin-3:Isoform 2, C-term	NOE3:C-term	Q96PB7	118427	OLFM3
X10647.18	3048	0.0287943059513173	0.0306260261593908	0.34719502753402	Activating signal cointegrator 1 complex subunit 1	ASCC1	Q8N9N2	51008	ASCC1
X10663.42	3044	0.053021812178737	0.0333578972506791	0.112056329282739	Insulin-induced gene 1 protein	INSI1	O15503	3638	INSIG1
X10666.7	3055	-0.00265543986148952	0.0317053941570934	0.933257911705738	N-acetylglucosamine-1-phosphotransferase subunit gamma	GNPTG	Q9UJJ9	84572	GNPTG
X10667.78	3043	-0.014281200494084	0.0331609206023159	0.666743835257624	Uncharacterized protein C1orf185	CA185	Q5T7R7	284546	C1orf185
X10668.5	3054	0.0525753029759124	0.0313945744896358	0.0941040236981508	Syntaxin-4	STX4	Q12846	6810	STX4
X10672.75	2876	-0.0122562865600256	0.0317224527776497	0.699258968818523	Pulmonary surfactant-associated protein B	SP-B	P07988	6439	SFTPB
X10693.43	2951	0.0145083170448325	0.0337240379392013	0.667076821177616	Killer cell lectin-like receptor subfamily G member 2:C-term	KLRG2:C-term	A4D1S0	346689	KLRG2
X10695.12	3067	0.0661250404411918	0.0328357207526862	0.04411713867234	Protein WFDC10B	WF10B	Q8IUB3	280664	WFDC10B
X10699.52	3038	0.0314854741624323	0.0299211384963836	0.292754786936322	Prolow-density lipoprotein receptor-related protein 1	LRP1	Q07954	4035	LRP1
X10700.10	2989	0.017374934561626	0.0328806659398445	0.597244706357338	Immunoglobulin superfamily member 11:Cytoplasmic domain	IGS11:CD	Q5DX21	152404	IGSF11
X10702.1	3073	0.03394219379545	0.0289514033971744	0.241134314389714	Collagen alpha-1(XXVIII) chain	COSA1	Q2UY09	340267	COL28A1
X10703.203	2888	0.00342463892759695	0.0333198223914377	0.918144135143551	Sin3 histone deacetylase corepressor complex component SDS3	SDS3	Q9H7L9	64426	SUDS3
X10704.91	3033	-0.00654564452356666	0.0328361797915332	0.842008380119396	Lymphoid-restricted membrane protein	LRMP	Q12912	4033	IRAG2
X10705.14	3039	0.00780352436914475	0.0332932464371061	0.814700036031105	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	SIA7C	Q8NDV1	256435	ST6GALNAC3
X10708.3	3072	-0.0109889616088664	0.0320821027898006	0.73197859045891	Progonadoliberin-2	GON2	O43555	2797	GNRH2
X10710.23	3065	-0.0377314489359303	0.0327963209574218	0.250037707237687	Zona pellucida-binding protein 2	ZPBP2	Q6X784	124626	ZPBP2
X10713.151	3048	0.0274556890016596	0.033077260730529	0.406577770123743	CMRF35-like molecule 7	CLM7	A8K4G0	124599	CD300LB
X10714.7	3055	-0.00891195985184982	0.0315068267647649	0.777305012701891	Angiotensin-converting enzyme	ACE	P12821	1636	ACE
X10716.35	3042	0.0425907791331504	0.0328715102554767	0.19518698399718	26S proteasome non-ATPase regulatory subunit 5	PSMD5	Q16401	5711	PSMD5
X10721.76	3072	0.0292310780172462	0.0301651514921357	0.332604972864116	Heat shock 70 kDa protein 1A	HSP 70	P0DMV8	3303	HSPA1A
X10722.13	2891	0.0351716044049032	0.0333230560351737	0.291297948811876	Tyrosine-protein kinase SYK:Protein kinase domain	KSYK:Protein Kinase	P43405	6850	SYK
X10737.96	3073	0.0413210089012438	0.0308952170027103	0.181173692425284	Leukocyte elastase inhibitor	Serpin B1	P30740	1992	SERPINB1
X10738.11	2885	0.0358271436734439	0.0315579809190005	0.256353362563507	Fibulin-5	fibulin 5	Q9UBX5	10516	FBLN5
X10741.22	2908	0.0459273140066902	0.0322759554936874	0.154856887305367	Macrophage colony-stimulating factor 1	CSF-1	P09603	1435	CSF1
X10743.13	2903	0.0426953487427241	0.0336341020699758	0.204398962419886	SLIT and NTRK-like protein 1	SLIK1	Q96PX8	114798	SLITRK1
X10746.24	2902	0.0196093715211405	0.0324655506518824	0.545887699923878	Dickkopf-related protein 3	DKK3	Q9UBP4	27122	DKK3
X10748.216	3054	0.0597030656714703	0.0327151745954404	0.0681095175821606	Protocadherin beta-2	PCDB2	Q9Y5E7	56133	PCDHB2
X10749.18	3074	0.0203928574008179	0.0303598248911595	0.501822288465157	Heat shock 70 kDa protein 1A	HSP 70	P0DMV8	3303	HSPA1A
X10752.8	3042	-0.00131313646823312	0.0309452832738386	0.966155427940351	Chromodomain Y-like protein 2	CDYL2	Q8N8U2	124359	CDYL2
X10753.31	2989	-0.0274420559601451	0.0327742028745758	0.40248792316931	Disintegrin and metalloproteinase domain-containing protein 7	ADAM7	Q9H2U9	8756	ADAM7
X10754.113	3060	-0.0497416733220274	0.0314801878344112	0.11418966084959	Prokineticin-2	Prokineticin-2	Q9HC23	60675	PROK2
X10756.34	2956	0.0438036938092536	0.0320006241473281	0.171154835667357	Urocortin-3	UCN3	Q969E3	114131	UCN3
