Analyte	Gene	CHR	TWAS.Z	TWAS.P	P0	fdr_p	specific	topSNP	Discovery	NEW_hit	Tissue	P0_add	P0_cum	label_color	nudge_y
NA	QPCT	2	-3.71123	0.000206	37344574	0.0150941818181818	0	0	Primary	NA	B	276724047	314068621	NA	NA
NA	YARS1	1	3.65741	0.000255	32775239	0.018135	3	3	Primary	Y	B	0	32775239	#0A09FA	2
NA	EARS2	16	3.6444	0.000268	23522014	0.0185149714285714	0	0	Primary	NA	B	2836032653	2859554667	NA	NA
NA	RASAL1	12	-3.5984	0.00032	113098819	0.02046	0	0	Primary	NA	B	2261842245	2374941064	NA	NA
NA	RABEP1	17	3.5948	0.000325	5282263	0.02046	1	1	Primary	N	B	2955980578	2961262841	#007404	0.4
NA	CARM1	19	-3.599	0.000319	10871513	0.02046	3	3	Primary	Y	B	3179033054	3189904567	#0A09FA	2
NA	PTCD1	7	-3.5909	0.00033	99416739	0.02046	0	0	Primary	NA	B	1403002861	1502419600	NA	NA
NA	ACSL6	5	3.5831	0.00034	131806990	0.020553	1	1	Primary	Y	B	992234598	1124041588	#0A09FA	0.4
NA	SCAPER	15	-3.572	0.000354	76348185	0.0208773658536585	1	1	Primary	Y	B	2704379055	2780727240	#0A09FA	0.4
NA	PTPMT1	11	3.528	0.000419	47565430	0.0241224285714286	0	0	Primary	NA	B	2097588750	2145154180	NA	NA
NA	ASPHD1	16	-3.501	0.000463	29900375	0.0260356744186047	0	0	Primary	NA	B	2836032653	2865933028	NA	NA
NA	SRA1	5	-3.478	0.000505	140537340	0.0277520454545455	0	0	Primary	NA	B	992234598	1132771938	NA	NA
NA	ARSA	22	3.44217	0.000577	50622754	0.0310041333333333	3	3	Primary	Y	B	3438078747	3488701501	#0A09FA	2
NA	ANXA11	10	3.398412	0.000678	80150889	0.034983829787234	3	0	Primary	N	B	1934034850	2014185739	#000000	NA
NA	CPNE7	16	-3.3976	0.00068	89575768	0.034983829787234	0	0	Primary	NA	B	2836032653	2925608421	NA	NA
NA	SFXN4	10	-3.383	0.000717	119140767	0.036118875	1	1	Primary	Y	B	1934034850	2053175617	#0A09FA	0.4
NA	INPP5D	2	3.36277	0.000772	233059967	0.0380958367346939	1	1	Primary	N	B	276724047	509784014	#007404	0.4
NA	AKAP8	19	-3.265	0.001095	15353385	0.0529542	0	0	Primary	NA	B	3179033054	3194386439	NA	NA
NA	ACOT2	14	-3.2351	0.00122	73567620	0.0578423529411765	0	0	Primary	NA	B	2568892738	2642460358	NA	NA
NA	LDB3	10	-3.228	0.00125	86668449	0.058032	0	0	Primary	NA	B	1934034850	2020703299	NA	NA
NA	NUMB	14	-3.2187	0.00129	73275107	0.058032	0	0	Primary	NA	B	2568892738	2642167845	NA	NA
NA	MAPT	17	3.2124	0.00132	45894382	0.058032	0	0	Primary	NA	B	2955980578	3001874960	NA	NA
NA	MFSD6	2	-3.21237	0.00132	190408355	0.058032	0	0	Primary	NA	B	276724047	467132402	NA	NA
NA	MINDY1	1	-3.18743	0.00144	150996549	0.0615105263157895	0	0	Primary	NA	B	0	150996549	NA	NA
NA	ULK3	15	-3.18397	0.00145	74836116	0.0615105263157895	0	0	Primary	NA	B	2704379055	2779215171	NA	NA
NA	SUN1	7	-3.1524	0.00162	815891	0.0675372413793104	0	0	Primary	NA	B	1403002861	1403818752	NA	NA
NA	METTL13	1	-3.144	0.00167	171781648	0.0684416949152542	0	0	Primary	NA	B	0	171781648	NA	NA
NA	DNAJC11	1	3.13883	0.0017	6634168	0.06851	0	0	Primary	NA	B	0	6634168	NA	NA
NA	FTSJ3	17	3.1161	0.00183	63819433	0.07254	0	0	Primary	NA	B	2955980578	3019800011	NA	NA
NA	PLEKHM2	1	-3.09177	0.00199	15684332	0.07761	0	0	Primary	NA	B	0	15684332	NA	NA
NA	AGMAT	1	-3.07	0.00214	15572353	0.0821352380952381	0	0	Primary	NA	B	0	15572353	NA	NA
NA	FKBP2	11	3.057	0.00224	64241003	0.08463	0	0	Primary	NA	B	2097588750	2161829753	NA	NA
NA	LRP4	11	3.0351	0.0024	46856868	0.08928	0	0	Primary	NA	B	2097588750	2144445618	NA	NA
NA	DENR	12	-3.0107	0.00261	122752774	0.0956209090909091	0	0	Primary	NA	B	2261842245	2384595019	NA	NA
NA	PTPRJ	11	-2.9953	0.00274	47980561	0.0988853731343283	0	0	Primary	NA	B	2097588750	2145569311	NA	NA
NA	IRAG1	11	2.9813	0.00287	10573091	0.100574782608696	0	0	Primary	NA	B	2097588750	2108161841	NA	NA
NA	MANF	3	-2.980909	0.00287	51385047	0.100574782608696	0	0	Primary	NA	B	548458626	599843673	NA	NA
NA	HSD17B7	1	-2.97453	0.00293	162790702	0.101210571428571	0	0	Primary	NA	B	0	162790702	NA	NA
NA	SCYL2	12	-2.9683	0.00299	100267140	0.101828450704225	0	0	Primary	NA	B	2261842245	2362109385	NA	NA
NA	HARS2	5	2.912	0.003591	140691426	0.12059775	0	0	Primary	NA	B	992234598	1132926024	NA	NA
NA	MRPL9	1	2.898	0.00376	151759643	0.1228344	0	0	Primary	NA	B	0	151759643	NA	NA
NA	TMEM266	15	2.89331	0.00381	76059837	0.1228344	0	0	Primary	NA	B	2704379055	2780438892	NA	NA
NA	IST1	16	-2.8971	0.00377	71845996	0.1228344	0	0	Primary	NA	B	2836032653	2907878649	NA	NA
NA	DNAJB1	19	2.8751	0.004039	14514770	0.128503973684211	0	0	Primary	NA	B	3179033054	3193547824	NA	NA
NA	USP4	3	-2.860006	0.00424	49277831	0.133147012987013	0	0	Primary	NA	B	548458626	597736457	NA	NA
NA	MFSD4A	1	-2.84015	0.00451	205568885	0.137318518518519	0	0	Primary	NA	B	0	205568885	NA	NA
NA	RAB27B	18	2.839	0.00453	54717860	0.137318518518519	0	0	Primary	NA	B	3069060187	3123778047	NA	NA
NA	MAP7	6	-2.83346	0.0046	136342737	0.137318518518519	0	0	Primary	NA	B	1202467741	1338810478	NA	NA
NA	PTPA	9	2.835	0.00458	129110950	0.137318518518519	0	0	Primary	NA	B	1766574898	1895685848	NA	NA
NA	PLEKHA1	10	2.806	0.00502	122374696	0.141004719101124	0	0	Primary	NA	B	1934034850	2056409546	NA	NA
NA	KIFBP	10	2.81444	0.00489	68988731	0.141004719101124	0	0	Primary	NA	B	1934034850	2003023581	NA	NA
NA	UBASH3B	11	-2.8124	0.00492	122655675	0.141004719101124	0	0	Primary	NA	B	2097588750	2220244425	NA	NA
NA	STXBP6	14	2.8089	0.00497	24809656	0.141004719101124	0	0	Primary	NA	B	2568892738	2593702394	NA	NA
NA	RHBDF1	16	-2.7957	0.00518	58059	0.141004719101124	0	0	Primary	NA	B	2836032653	2836090712	NA	NA
NA	NPEPPS	17	2.8049	0.00503	47522942	0.141004719101124	0	0	Primary	NA	B	2955980578	3003503520	NA	NA
NA	OPLAH	8	-2.795	0.00519	144051266	0.141004719101124	0	0	Primary	NA	B	1591733856	1735785122	NA	NA
NA	HGH1	8	-2.802	0.00508	144137769	0.141004719101124	0	0	Primary	NA	B	1591733856	1735871625	NA	NA
NA	B3GAT3	11	2.786	0.00534	62615296	0.142157142857143	0	0	Primary	NA	B	2097588750	2160204046	NA	NA
NA	TALDO1	11	2.785	0.00535	747329	0.142157142857143	0	0	Primary	NA	B	2097588750	2098336079	NA	NA
NA	MPI	15	2.78034	0.00543	74890005	0.142714565217391	0	0	Primary	NA	B	2704379055	2779269060	NA	NA
NA	NADK2	5	-2.7577	0.00582	36192592	0.15132	0	0	Primary	NA	B	992234598	1028427190	NA	NA
NA	SLC38A3	3	-2.75	0.00596	50205246	0.153311489361702	0	0	Primary	NA	B	548458626	598663872	NA	NA
NA	ARHGAP1	11	-2.7407	0.00613	46677080	0.156024631578947	0	0	Primary	NA	B	2097588750	2144265830	NA	NA
NA	SCAMP5	15	-2.7267	0.0064	74957219	0.158576387755102	0	0	Primary	NA	B	2704379055	2779336274	NA	NA
NA	CHKB	22	2.72517	0.006427	50578949	0.158576387755102	0	0	Primary	NA	B	3438078747	3488657696	NA	NA
NA	PI16	6	-2.72916	0.00635	36954433	0.158576387755102	0	0	Primary	NA	B	1202467741	1239422174	NA	NA
NA	GLS2	12	2.7151	0.00662	56470952	0.1600716	0	0	Primary	NA	B	2261842245	2318313197	NA	NA
NA	RCN2	15	2.718	0.00657	76931619	0.1600716	0	0	Primary	NA	B	2704379055	2781310674	NA	NA
NA	ARHGDIB	12	2.6938	0.00706	14942017	0.167363529411765	0	0	Primary	NA	B	2261842245	2276784262	NA	NA
NA	TNS3	7	-2.6967	0.007	47275154	0.167363529411765	0	0	Primary	NA	B	1403002861	1450278015	NA	NA
NA	RNF185	22	-2.68874	0.007172	31160182	0.168367922330097	0	0	Primary	NA	B	3438078747	3469238929	NA	NA
NA	PHLPP2	16	2.6784	0.0074	71637835	0.17205	0	0	Primary	NA	B	2836032653	2907670488	NA	NA
NA	S100A11	1	-2.66841	0.00762	152032506	0.172423738317757	0	0	Primary	NA	B	0	152032506	NA	NA
NA	HIP1R	12	2.6679	0.00763	122834453	0.172423738317757	0	0	Primary	NA	B	2261842245	2384676698	NA	NA
NA	MOGS	2	-2.672	0.00754	74461057	0.172423738317757	0	0	Primary	NA	B	276724047	351185104	NA	NA
NA	CHMP1A	16	-2.647	0.00812	89644431	0.181797777777778	0	0	Primary	NA	B	2836032653	2925677084	NA	NA
NA	ISYNA1	19	2.6338	0.008444	18434388	0.187317357798165	0	0	Primary	NA	B	3179033054	3197467442	NA	NA
NA	ANO5	11	2.6293	0.00856	22193176	0.188164363636364	0	0	Primary	NA	B	2097588750	2119781926	NA	NA
NA	ABHD12	20	-2.6069	0.00914	25294743	0.199103783783784	0	0	Primary	NA	B	3267584620	3292879363	NA	NA
NA	ANKRD16	10	2.602196	0.00926	5861617	0.199916785714286	0	0	Primary	NA	B	1934034850	1939896467	NA	NA
NA	HPCA	1	2.58784	0.00966	32885994	0.20212	0	0	Primary	NA	B	0	32885994	NA	NA
NA	RPS6KC1	1	-2.59	0.0096	213051247	0.20212	0	0	Primary	NA	B	0	213051247	NA	NA
NA	SPATA33	16	-2.585	0.00974	89657802	0.20212	0	0	Primary	NA	B	2836032653	2925690455	NA	NA
NA	FARP2	2	-2.58341	0.00978	241356243	0.20212	0	0	Primary	NA	B	276724047	518080290	NA	NA
NA	DAGLB	7	2.5883	0.00964	6409126	0.20212	0	0	Primary	NA	B	1403002861	1409411987	NA	NA
NA	ADCK1	14	2.5764	0.00998	77800083	0.204505423728814	0	0	Primary	NA	B	2568892738	2646692821	NA	NA
NA	CORO1A	16	2.565	0.0103	30182827	0.20881445	0	0	Primary	NA	B	2836032653	2866215480	NA	NA
NA	GCDH	19	2.5635	0.010363	12891026	0.20881445	0	0	Primary	NA	B	3179033054	3191924080	NA	NA
NA	FGGY	1	-2.55974	0.0105	59296638	0.209826446280992	0	0	Primary	NA	B	0	59296638	NA	NA
NA	FAHD2B	2	2.54661	0.0109	97083583	0.216034426229508	0	0	Primary	NA	B	276724047	373807630	NA	NA
NA	PLEKHA5	12	-2.5426	0.011	19129714	0.216243902439024	0	0	Primary	NA	B	2261842245	2280971959	NA	NA
NA	YOD1	1	2.53302	0.0113	207043849	0.21762	0	0	Primary	NA	B	0	207043849	NA	NA
NA	CRYAB	11	-2.52	0.0117	111908565	0.21762	0	0	Primary	NA	B	2097588750	2209497315	NA	NA
NA	ATP11A	13	2.523	0.0116	112690329	0.21762	0	0	Primary	NA	B	2424611154	2537301483	NA	NA
NA	PRKCB	16	2.5243	0.0116	23836001	0.21762	0	0	Primary	NA	B	2836032653	2859868654	NA	NA
NA	SIRPA	20	2.5213	0.0117	1894508	0.21762	0	0	Primary	NA	B	3267584620	3269479128	NA	NA
NA	PLXNB2	22	2.522	0.011669	50274979	0.21762	0	0	Primary	NA	B	3438078747	3488353726	NA	NA
NA	H1-10	3	-2.537955	0.0112	129314772	0.21762	0	0	Primary	NA	B	548458626	677773398	NA	NA
NA	HSPG2	1	2.50799	0.0121	21822245	0.223341984732824	0	0	Primary	NA	B	0	21822245	NA	NA
NA	PDCD6IP	3	-2.496	0.0126	33798352	0.230809090909091	0	0	Primary	NA	B	548458626	582256978	NA	NA
NA	AP1G1	16	2.4778	0.0132	71729010	0.238191044776119	0	0	Primary	NA	B	2836032653	2907761663	NA	NA
NA	MON1A	3	-2.479	0.0132	49908869	0.238191044776119	0	0	Primary	NA	B	548458626	598367495	NA	NA
NA	CCDC92	12	-2.4566	0.014	123918660	0.247094890510949	0	0	Primary	NA	B	2261842245	2385760905	NA	NA
NA	MOCS2	5	-2.4605	0.013876	53095679	0.247094890510949	0	0	Primary	NA	B	992234598	1045330277	NA	NA
NA	MMUT	6	-2.45789	0.014	49430360	0.247094890510949	0	0	Primary	NA	B	1202467741	1251898101	NA	NA
NA	NUB1	7	2.446	0.0144	151341699	0.252313043478261	0	0	Primary	NA	B	1403002861	1554344560	NA	NA
NA	USP31	16	-2.4344	0.0149	23061406	0.259195683453237	0	0	Primary	NA	B	2836032653	2859094059	NA	NA
NA	GLG1	16	2.4184	0.0156	74451958	0.269434285714286	0	0	Primary	NA	B	2836032653	2910484611	NA	NA
NA	PTPRU	1	-2.40232	0.0163	29236516	0.277559154929577	0	0	Primary	NA	B	0	29236516	NA	NA
NA	CCDC25	8	-2.4027	0.0163	27733318	0.277559154929577	0	0	Primary	NA	B	1591733856	1619467174	NA	NA
NA	LDHB	12	-2.396	0.0166	21635342	0.278741666666667	0	0	Primary	NA	B	2261842245	2283477587	NA	NA
NA	PLEKHO2	15	2.39799	0.0165	64841889	0.278741666666667	0	0	Primary	NA	B	2704379055	2769220944	NA	NA
NA	LRPAP1	4	2.38987	0.0169	3506376	0.281547945205479	0	0	Primary	NA	B	775968409	779474785	NA	NA
NA	PCMT1	6	2.38601	0.017	149749443	0.281547945205479	0	0	Primary	NA	B	1202467741	1352217184	NA	NA
NA	BBS9	7	2.3794	0.0173	33129244	0.284567346938776	0	0	Primary	NA	B	1403002861	1436132105	NA	NA
NA	MRPL1	4	-2.37095	0.0177	77862520	0.28917972972973	0	0	Primary	NA	B	775968409	853830929	NA	NA
NA	RAB29	1	2.36672	0.0179	205767986	0.290484563758389	0	0	Primary	NA	B	0	205767986	NA	NA
NA	NMNAT3	3	-2.361567	0.0182	139560180	0.293384	0	0	Primary	NA	B	548458626	688018806	NA	NA
NA	PHKB	16	-2.3446	0.019	47461123	0.2964	0	0	Primary	NA	B	2836032653	2883493776	NA	NA
NA	LONP1	19	2.3515	0.0187	5691834	0.2964	0	0	Primary	NA	B	3179033054	3184724888	NA	NA
NA	UMPS	3	2.350386	0.0188	124730366	0.2964	0	0	Primary	NA	B	548458626	673188992	NA	NA
NA	TBC1D1	4	2.34927	0.0188	37891087	0.2964	0	0	Primary	NA	B	775968409	813859496	NA	NA
NA	YWHAZ	8	-2.348	0.0189	100916525	0.2964	0	0	Primary	NA	B	1591733856	1692650381	NA	NA
NA	LXN	3	-2.340803	0.0192	158645822	0.2976	0	0	Primary	NA	B	548458626	707104448	NA	NA
NA	ACOT8	20	-2.336	0.0195	45841721	0.300324840764331	0	0	Primary	NA	B	3267584620	3313426341	NA	NA
NA	COX7A1	19	-2.3228	0.020189	36150922	0.308968367088608	0	0	Primary	NA	B	3179033054	3215183976	NA	NA
NA	SEC23IP	10	2.310247	0.0209	119892711	0.309210909090909	0	0	Primary	NA	B	1934034850	2053927561	NA	NA
NA	LMO7	13	2.308	0.021	75620434	0.309210909090909	0	0	Primary	NA	B	2424611154	2500231588	NA	NA
NA	LINGO1	15	-2.31	0.0209	77613027	0.309210909090909	0	0	Primary	NA	B	2704379055	2781992082	NA	NA
NA	COQ7	16	-2.316	0.0206	19067599	0.309210909090909	0	0	Primary	NA	B	2836032653	2855100252	NA	NA
NA	VASN	16	-2.3053	0.0211	4371848	0.309210909090909	0	0	Primary	NA	B	2836032653	2840404501	NA	NA
NA	AKAP10	17	2.3067	0.0211	19904302	0.309210909090909	0	0	Primary	NA	B	2955980578	2975884880	NA	NA
NA	ICA1L	2	-2.30614	0.0211	202775967	0.309210909090909	0	0	Primary	NA	B	276724047	479500014	NA	NA
NA	TRIM36	5	-2.3014	0.021367	115124762	0.311237385542169	0	0	Primary	NA	B	992234598	1107359360	NA	NA
NA	MRE11	11	-2.2923	0.0219	94419729	0.317091017964072	0	0	Primary	NA	B	2097588750	2192008479	NA	NA
NA	NUDT16	3	2.288945	0.0221	131381671	0.318082142857143	0	0	Primary	NA	B	548458626	679840297	NA	NA
NA	RAB8B	15	2.27643	0.0228	63189469	0.326215384615385	0	0	Primary	NA	B	2704379055	2767568524	NA	NA
NA	TUFM	16	2.2729	0.023	28842411	0.327141176470588	0	0	Primary	NA	B	2836032653	2864875064	NA	NA
NA	MYO1E	15	-2.27033	0.0232	59134914	0.327554651162791	0	0	Primary	NA	B	2704379055	2763513969	NA	NA
NA	C2CD2	21	2.2684	0.0233	41885112	0.327554651162791	0	0	Primary	NA	B	3361479785	3403364897	NA	NA
NA	LLGL1	17	-2.2616	0.0237	18225587	0.329348275862069	0	0	Primary	NA	B	2955980578	2974206165	NA	NA
NA	SORCS2	4	-2.263	0.0236	7192538	0.329348275862069	0	0	Primary	NA	B	775968409	783160947	NA	NA
NA	PON1	7	-2.2548	0.0241	95297676	0.332993142857143	0	0	Primary	NA	B	1403002861	1498300537	NA	NA
NA	GLOD4	17	-2.2504	0.0244	757097	0.333328813559322	0	0	Primary	NA	B	2955980578	2956737675	NA	NA
NA	DEPTOR	8	2.251	0.0244	119873717	0.333328813559322	0	0	Primary	NA	B	1591733856	1711607573	NA	NA
NA	RRP12	10	-2.243	0.0249	97356358	0.335905945945946	0	0	Primary	NA	B	1934034850	2031391208	NA	NA
NA	RNF141	11	-2.2349	0.0254	10511678	0.335905945945946	0	0	Primary	NA	B	2097588750	2108100428	NA	NA
NA	PACSIN3	11	2.2301	0.0257	47177525	0.335905945945946	0	0	Primary	NA	B	2097588750	2144766275	NA	NA
NA	LANCL1	2	2.236	0.0254	210431249	0.335905945945946	0	0	Primary	NA	B	276724047	487155296	NA	NA
NA	HSPD1	2	-2.231	0.0257	197486581	0.335905945945946	0	0	Primary	NA	B	276724047	474210628	NA	NA
NA	PRODH	22	2.2361	0.025345	18912781	0.335905945945946	0	0	Primary	NA	B	3438078747	3456991528	NA	NA
NA	RAB3C	5	-2.232	0.025615	58582221	0.335905945945946	0	0	Primary	NA	B	992234598	1050816819	NA	NA
NA	NDUFAF6	8	2.243	0.0249	94895767	0.335905945945946	0	0	Primary	NA	B	1591733856	1686629623	NA	NA
NA	VAT1L	16	2.226	0.026	77788530	0.336192513368984	0	0	Primary	NA	B	2836032653	2913821183	NA	NA
NA	SULT1A1	16	2.2272	0.0259	28605582	0.336192513368984	0	0	Primary	NA	B	2836032653	2864638235	NA	NA
NA	EIF4G3	1	-2.19745	0.028	20806470	0.349266666666667	0	0	Primary	NA	B	0	20806470	NA	NA
NA	CRTAC1	10	-2.203062	0.0276	97865000	0.349266666666667	0	0	Primary	NA	B	1934034850	2031899850	NA	NA
NA	FGD4	12	-2.1933	0.0283	32399529	0.349266666666667	0	0	Primary	NA	B	2261842245	2294241774	NA	NA
NA	SPRYD4	12	2.1912	0.0284	56468517	0.349266666666667	0	0	Primary	NA	B	2261842245	2318310762	NA	NA
NA	TNFAIP8L3	15	2.191	0.0285	51056598	0.349266666666667	0	0	Primary	NA	B	2704379055	2755435653	NA	NA
NA	NHERF2	16	-2.1906	0.0285	2025356	0.349266666666667	0	0	Primary	NA	B	2836032653	2838058009	NA	NA
NA	TMEM231	16	2.192	0.0284	75538117	0.349266666666667	0	0	Primary	NA	B	2836032653	2911570770	NA	NA
NA	GLS	2	2.19058	0.0285	190880827	0.349266666666667	0	0	Primary	NA	B	276724047	467604874	NA	NA
NA	THUMPD3	3	2.203989	0.0275	9362842	0.349266666666667	0	0	Primary	NA	B	548458626	557821468	NA	NA
NA	CPE	4	-2.189	0.0286	165361194	0.349266666666667	0	0	Primary	NA	B	775968409	941329603	NA	NA
NA	PLEKHA2	8	-2.2048	0.0275	38901235	0.349266666666667	0	0	Primary	NA	B	1591733856	1630635091	NA	NA
NA	NT5C3A	7	2.1836	0.029	33014130	0.352371859296482	0	0	Primary	NA	B	1403002861	1436016991	NA	NA
NA	EVI5L	19	-2.1791	0.029327	7830233	0.35456343	0	0	Primary	NA	B	3179033054	3186863287	NA	NA
NA	ENPP6	4	-2.1767	0.0295	184088706	0.354880597014925	0	0	Primary	NA	B	775968409	960057115	NA	NA
NA	TEX264	3	2.172099	0.0298	51662693	0.356714851485149	0	0	Primary	NA	B	548458626	600121319	NA	NA
NA	ABCG2	4	-2.165	0.0304	88090264	0.362104433497537	0	0	Primary	NA	B	775968409	864058673	NA	NA
NA	INPP5A	10	-2.162865	0.0306	132537820	0.3627	0	0	Primary	NA	B	1934034850	2066572670	NA	NA
NA	IDUA	4	2.1562	0.0311	986997	0.366828292682927	0	0	Primary	NA	B	775968409	776955406	NA	NA
NA	RDX	11	2.1499	0.0316	110174880	0.36912463768116	0	0	Primary	NA	B	2097588750	2207763630	NA	NA
NA	NAA80	3	2.149	0.0316	50296402	0.36912463768116	0	0	Primary	NA	B	548458626	598755028	NA	NA
NA	CD82	11	-2.144	0.032	44564427	0.370683962264151	0	0	Primary	NA	B	2097588750	2142153177	NA	NA
NA	ATP13A1	19	2.1394	0.032405	19645198	0.370683962264151	0	0	Primary	NA	B	3179033054	3198678252	NA	NA
NA	MRAS	3	2.142296	0.0322	138347697	0.370683962264151	0	0	Primary	NA	B	548458626	686806323	NA	NA
NA	ACAD9	3	2.138277	0.0325	128879596	0.370683962264151	0	0	Primary	NA	B	548458626	677338222	NA	NA
NA	PTGR1	9	-2.1395	0.0324	111549722	0.370683962264151	0	0	Primary	NA	B	1766574898	1878124620	NA	NA
NA	VCL	10	2.132385	0.033	73998114	0.37113488372093	0	0	Primary	NA	B	1934034850	2008032964	NA	NA
NA	SLC2A13	12	2.1316	0.033	39755021	0.37113488372093	0	0	Primary	NA	B	2261842245	2301597266	NA	NA
NA	AGPAT3	21	2.132	0.033	43865186	0.37113488372093	0	0	Primary	NA	B	3361479785	3405344971	NA	NA
NA	CROCC	1	2.13015	0.0332	16740273	0.371655555555556	0	0	Primary	NA	B	0	16740273	NA	NA
NA	NTPCR	1	-2.12736	0.0334	232950605	0.372171428571429	0	0	Primary	NA	B	0	232950605	NA	NA
NA	HBS1L	6	-2.125	0.0336	134960378	0.372682568807339	0	0	Primary	NA	B	1202467741	1337428119	NA	NA
NA	SAT2	17	2.1226	0.0338	7626234	0.37318904109589	0	0	Primary	NA	B	2955980578	2963606812	NA	NA
NA	SCLY	2	2.11091	0.0348	238060889	0.381847058823529	0	0	Primary	NA	B	276724047	514784936	NA	NA
NA	PCYT1A	3	-2.109	0.0349	196214222	0.381847058823529	0	0	Primary	NA	B	548458626	744672848	NA	NA
NA	GMFB	14	-2.105	0.0353	54474484	0.384483783783784	0	0	Primary	NA	B	2568892738	2623367222	NA	NA
NA	MIA3	1	2.09464	0.0362	222618086	0.38730796460177	0	0	Primary	NA	B	0	222618086	NA	NA
NA	SMCR8	17	2.0958	0.0361	18315310	0.38730796460177	0	0	Primary	NA	B	2955980578	2974295888	NA	NA
NA	CD14	5	2.0992	0.035799	140631728	0.38730796460177	0	0	Primary	NA	B	992234598	1132866326	NA	NA
NA	PRUNE2	9	2.0976	0.03594	76611376	0.38730796460177	0	0	Primary	NA	B	1766574898	1843186274	NA	NA
