Analyte	Gene	Chromosome	Gene_start	Gene_end	Novelty	Discovery	Female_PWAS.Z	Female_PWAS.P	Male_PWAS.Z	Male_PWAS.P	COLOC_PP4	SMR_pFDR	HEIDI_P	best_pQTL_COLOC_PP4	best_pQTL_COLOC_sex
X7905.30	HP	16	72054505	72061055	Novel_gene	Both	4.76	0.00000196	1.76	0.0786	0.9967353	0.00012618	0.01300691	0.988	F
NA	SLC7A5	16	87830016	87869507	Novel_gene	Secondary	3.7977	0.000146	1.81548	0.06945	0.85	0.003289554	0.1649705	0.854	F
X16616.137	ENO3	17	4948092	4957131	Novel_gene.known_locus	Secondary	3.7837	0.000155	0.1746	0.861	0.47	0.003289554	0.1346926	0.717	M
NA	RABEP1	17	5282265	5386340	Novel_gene.known_locus	Primary	3.5948	0.000325	1.4717	0.141092	0.08	0.008798807	0.3899935	0.066	F
NA	TOM1L2	17	17843507	17972422	Novel_gene.known_locus	Both	3.921	0.0000882	1.439	0.15	0.79	0.001090655	0.4203606	0.789	F
NA	SLC44A2	19	10602457	10644557	Novel_gene	Both	-3.7709	0.000163	-1.4054	0.1599	0.71	0.003289554	0.8064222	0.767	F
NA	CARM1	19	10871553	10923075	Novel_gene	Both	-3.599	0.000319	-1.463	0.14347	0.76	0.003289554	0.5084989	0.76	F
NA	FAM98C	19	38403093	38409088	Novel_gene	Secondary	3.37587	0.000736	0.2328	0.81593	0.101889202	0.029141686	0.1855745	0.102	F
NA	ARSA	22	50622754	50628173	Novel_gene	Both	3.44217	0.000577	0.96938	0.332353	0.29	0.004937595	0.2350283	0.677	F
X18331.3	GBA1	1	155234452	155244699	Novel_gene	Secondary	-1.774	0.0761	-5.0759	0.000000386	0.9921	0.00024554	0.3921682	0.998	F
NA	RFTN1	3	16313574	16514026	Novel_gene	Secondary	-0.53956	0.589499	-3.68007	0.000233	0.91	0.01543812	0.4581277	0.648	F
NA	CARMIL1	6	25279078	25620530	Novel_gene	Secondary	0.71955	0.472	3.9621	0.0000743	0.786900765	0.00277754	0.000337427	0.905	M
NA	PHB1	17	49404049	49414905	Novel_gene.known_locus	Secondary	-1.09406	0.274	-3.94037	0.0000814	0.85	0.012611628	0.5826936	0.848	M
