Analyte	Gene	CHR	TWAS.Z	TWAS.P	P0	fdr_p	specific	topSNP	Discovery	NEW_hit	Tissue	P0_add	P0_cum	label_color	nudge_y
NA	MAPK3	16	3.089	0.00201	30114105	0.112195675675676	0	0	Primary	NA	B	2835872847	2865986952	NA	NA
NA	NPEPPS	17	3.1144	0.001843	47522942	0.112195675675676	0	0	Primary	NA	B	2955820772	3003343714	NA	NA
NA	FAM171A2	17	-3.1066	0.001893	44353215	0.112195675675676	0	0	Primary	NA	B	2955820772	3000173987	NA	NA
NA	RFTN1	3	-3.041	0.00236	16313574	0.112195675675676	0	0	Primary	NA	B	548458626	564772200	NA	NA
NA	OXNAD1	3	-3.041	0.00236	16265199	0.112195675675676	0	0	Primary	NA	B	548458626	564723825	NA	NA
NA	LRP4	11	3.01939	0.002533	46856868	0.114244794871795	0	0	Primary	NA	B	2097428944	2144285812	NA	NA
NA	RTF2	20	3.02	0.00253	56468591	0.114244794871795	0	0	Primary	NA	B	3267424814	3323893405	NA	NA
NA	SHPK	17	-3.0047	0.002659	3608262	0.116929525	0	0	Primary	NA	B	2955820772	2959429034	NA	NA
NA	SNX32	11	-2.983	0.002854	65833641	0.118221162790698	0	0	Primary	NA	B	2097428944	2163262585	NA	NA
NA	WWP2	16	-2.9792	0.00289	69762306	0.118221162790698	0	0	Primary	NA	B	2835872847	2905635153	NA	NA
NA	PRODH	22	2.9906	0.00278	18912781	0.118221162790698	0	0	Primary	NA	B	3437918941	3456831722	NA	NA
NA	GDPD1	17	-2.9346	0.00334	59220467	0.130556888888889	0	0	Primary	NA	B	2955820772	3015041239	NA	NA
NA	MSRA	8	2.9386	0.0033	10054268	0.130556888888889	0	0	Primary	NA	B	1591733856	1601788124	NA	NA
NA	QPCT	2	-2.92253	0.00347	37344574	0.132689782608696	0	0	Primary	NA	B	276724047	314068621	NA	NA
NA	PLEKHA1	10	2.883	0.00394	122374696	0.147456595744681	0	0	Primary	NA	B	1934034850	2056409546	NA	NA
NA	CARMIL1	6	2.8671	0.00414	25279078	0.15171375	0	0	Primary	NA	B	1202467741	1227746819	NA	NA
NA	VIPAS39	14	2.84183	0.004486	77426675	0.161038244897959	0	0	Primary	NA	B	2568732932	2646159607	NA	NA
NA	CD14	5	2.82997	0.00466	140631728	0.1639388	0	0	Primary	NA	B	992234598	1132866326	NA	NA
NA	ADAM10	15	2.82	0.004802	58595204	0.165621921568627	0	0	Primary	NA	B	2704219249	2762814453	NA	NA
NA	CNNM2	10	2.8085	0.00498	102918293	0.167270943396226	0	0	Primary	NA	B	1934034850	2036953143	NA	NA
NA	THNSL2	2	-2.80459	0.00504	88170316	0.167270943396226	0	0	Primary	NA	B	276724047	364894363	NA	NA
NA	TIGAR	12	-2.7876	0.005311	4321205	0.172382	0	0	Primary	NA	B	2261682439	2266003644	NA	NA
NA	DAGLB	7	2.78257	0.00539	6409126	0.172382	0	0	Primary	NA	B	1403002861	1409411987	NA	NA
NA	IDH3A	15	2.744	0.006075	78131498	0.190820089285714	0	0	Primary	NA	B	2704219249	2782350747	NA	NA
NA	AS3MT	10	2.7163	0.0066	102869516	0.194076333333333	0	0	Primary	NA	B	1934034850	2036904366	NA	NA
NA	TTC19	17	-2.7178	0.006572	15999380	0.194076333333333	0	0	Primary	NA	B	2955820772	2971820152	NA	NA
NA	SHPK	17	-2.726	0.006411	3565444	0.194076333333333	0	0	Primary	NA	B	2955820772	2959386216	NA	NA
NA	SLC14A1	18	-2.715	0.00662	45724127	0.194076333333333	0	0	Primary	NA	B	3068900381	3114624508	NA	NA
NA	ARHGAP1	11	-2.69821	0.006971	46677080	0.19963253968254	0	0	Primary	NA	B	2097428944	2144106024	NA	NA
NA	FBXO21	12	-2.6936	0.007068	117143341	0.19963253968254	0	0	Primary	NA	B	2261682439	2378825780	NA	NA
NA	MOBP	3	2.69	0.00715	39467198	0.19963253968254	0	0	Primary	NA	B	548458626	587925824	NA	NA
NA	STX6	1	2.67566	0.00746	180972725	0.204150606060606	0	0	Primary	NA	B	0	180972725	NA	NA
NA	ACSS1	20	2.6711	0.00756	25006232	0.204150606060606	0	0	Primary	NA	B	3267424814	3292431046	NA	NA
NA	EPHX2	8	2.6668	0.00766	27490779	0.204150606060606	0	0	Primary	NA	B	1591733856	1619224635	NA	NA
NA	NMNAT3	3	2.6594	0.00783	139560180	0.20556671641791	0	0	Primary	NA	B	548458626	688018806	NA	NA
NA	NKIRAS1	3	2.6497	0.00806	23891660	0.208493235294118	0	0	Primary	NA	B	548458626	572350286	NA	NA
NA	GSTZ1	14	2.63432	0.008431	77320884	0.211858985714286	0	0	Primary	NA	B	2568732932	2646053816	NA	NA
NA	COG7	16	-2.636	0.00839	23388493	0.211858985714286	0	0	Primary	NA	B	2835872847	2859261340	NA	NA
NA	SLC6A12	12	2.6039	0.009216	190077	0.228323154929578	0	0	Primary	NA	B	2261682439	2261872516	NA	NA
NA	BNIP3	10	-2.586	0.00971	131968074	0.236139726027397	0	0	Primary	NA	B	1934034850	2066002924	NA	NA
NA	PEX5L	3	2.583	0.0098	179794958	0.236139726027397	0	0	Primary	NA	B	548458626	728253584	NA	NA
NA	SYNM	15	2.572	0.010119	99098217	0.239247453333333	0	0	Primary	NA	B	2704219249	2803317466	NA	NA
NA	PPM1E	17	2.569	0.010201	58755869	0.239247453333333	0	0	Primary	NA	B	2955820772	3014576641	NA	NA
NA	NEK9	14	-2.547	0.010865	75082119	0.248201753246753	0	0	Primary	NA	B	2568732932	2643815051	NA	NA
NA	OSBPL6	2	2.54899	0.0108	178194481	0.248201753246753	0	0	Primary	NA	B	276724047	454918528	NA	NA
NA	RPH3A	12	-2.5313	0.011364	112570380	0.24986595	0	0	Primary	NA	B	2261682439	2374252819	NA	NA
NA	CKB	14	-2.53994	0.011087	103519659	0.24986595	0	0	Primary	NA	B	2568732932	2672252591	NA	NA
NA	VCAN	5	-2.53346	0.0113	83471465	0.24986595	0	0	Primary	NA	B	992234598	1075706063	NA	NA
NA	TMED8	14	-2.50672	0.012186	77335021	0.264631777777778	0	0	Primary	NA	B	2568732932	2646067953	NA	NA
NA	AHSA1	14	2.47624	0.013277	77457870	0.281502082352941	0	0	Primary	NA	B	2568732932	2646190802	NA	NA
NA	CDC42BPB	14	-2.46758	0.013603	102932379	0.281502082352941	0	0	Primary	NA	B	2568732932	2671665311	NA	NA
NA	TRMT61B	2	-2.47094	0.0135	28849821	0.281502082352941	0	0	Primary	NA	B	276724047	305573868	NA	NA
NA	FLNC	7	2.4672	0.0136	128830377	0.281502082352941	0	0	Primary	NA	B	1403002861	1531833238	NA	NA
NA	RASAL1	12	-2.4618	0.013823	113098819	0.28170283908046	0	0	Primary	NA	B	2261682439	2374781258	NA	NA
NA	RAB8B	15	2.459	0.013933	63189469	0.28170283908046	0	0	Primary	NA	B	2704219249	2767408718	NA	NA
NA	MACF1	1	2.45472	0.0141	39081316	0.281839772727273	0	0	Primary	NA	B	0	39081316	NA	NA
NA	PDCD10	3	-2.4464	0.01443	167683298	0.285195168539326	0	0	Primary	NA	B	548458626	716141924	NA	NA
NA	CCDC6	10	2.4404	0.01467	59788763	0.286717	0	0	Primary	NA	B	1934034850	1993823613	NA	NA
NA	IST1	16	2.4336	0.0149	71845996	0.288012087912088	0	0	Primary	NA	B	2835872847	2907718843	NA	NA
NA	GFM1	3	2.4243	0.01534	158644278	0.293294130434783	0	0	Primary	NA	B	548458626	707102904	NA	NA
NA	LRRC57	15	-2.416	0.015673	42542522	0.296438784946237	0	0	Primary	NA	B	2704219249	2746761771	NA	NA
NA	AKT3	1	2.39421	0.01666	243488233	0.302112783505155	0	0	Primary	NA	B	0	243488233	NA	NA
NA	MTFMT	15	-2.404	0.016235	65002507	0.302112783505155	0	0	Primary	NA	B	2704219249	2769221756	NA	NA
NA	TYK2	19	2.3948	0.0166	10350533	0.302112783505155	0	0	Primary	NA	B	3178873248	3189223781	NA	NA
NA	MICAL3	22	-2.4007	0.01636	17787649	0.302112783505155	0	0	Primary	NA	B	3437918941	3455706590	NA	NA
NA	RAB27B	18	2.381	0.01727	54717860	0.306847777777778	0	0	Primary	NA	B	3068900381	3123618241	NA	NA
NA	GLIPR2	9	2.383	0.01717	36136735	0.306847777777778	0	0	Primary	NA	B	1766574898	1802711633	NA	NA
NA	SBF1	22	2.353	0.01862	50445000	0.3275258	0	0	Primary	NA	B	3437918941	3488363941	NA	NA
NA	TAGLN3	3	-2.3313	0.01974	111998664	0.340418235294118	0	0	Primary	NA	B	548458626	660457290	NA	NA
NA	ARHGEF10	8	2.334	0.0196	1823976	0.340418235294118	0	0	Primary	NA	B	1591733856	1593557832	NA	NA
NA	ITGA2	5	-2.32686	0.02	52989326	0.341553398058252	0	0	Primary	NA	B	992234598	1045223924	NA	NA
NA	PCYT1A	3	-2.3176	0.02047	196214222	0.346218557692308	0	0	Primary	NA	B	548458626	744672848	NA	NA
NA	MTCH2	11	-2.29343	0.021823	47617315	0.35502752293578	0	0	Primary	NA	B	2097428944	2145046259	NA	NA
NA	EARS2	16	2.2952	0.0217	23522014	0.35502752293578	0	0	Primary	NA	B	2835872847	2859394861	NA	NA
NA	PDF	16	-2.297	0.0216	69328621	0.35502752293578	0	0	Primary	NA	B	2835872847	2905201468	NA	NA
NA	TMEM163	2	-2.29116	0.022	134455759	0.35502752293578	0	0	Primary	NA	B	276724047	411179806	NA	NA
NA	THEMIS	6	-2.2913	0.02195	127708072	0.35502752293578	0	0	Primary	NA	B	1202467741	1330175813	NA	NA
NA	IDUA	4	2.284	0.022372	986997	0.357748618181818	0	0	Primary	NA	B	775968409	776955406	NA	NA
NA	PARK7	1	-2.257	0.02401	7954291	0.364082672413793	0	0	Primary	NA	B	0	7954291	NA	NA
NA	OPALIN	10	2.2585	0.02391	96343216	0.364082672413793	0	0	Primary	NA	B	1934034850	2030378066	NA	NA
NA	ISLR2	15	-2.262	0.023697	74100311	0.364082672413793	0	0	Primary	NA	B	2704219249	2778319560	NA	NA
NA	MEAK7	16	-2.2567	0.024	84478075	0.364082672413793	0	0	Primary	NA	B	2835872847	2920350922	NA	NA
NA	DCC	18	2.26	0.0238	52340172	0.364082672413793	0	0	Primary	NA	B	3068900381	3121240553	NA	NA
NA	IMPA1	8	-2.262	0.0237	81657961	0.364082672413793	0	0	Primary	NA	B	1591733856	1673391817	NA	NA
NA	SAA2-SAA4	11	-2.25012	0.024441	18231423	0.36745058974359	0	0	Primary	NA	B	2097428944	2115660367	NA	NA
NA	CACNB3	12	2.242	0.024961	48813794	0.372088127118644	0	0	Primary	NA	B	2261682439	2310496233	NA	NA
NA	TRIM4	7	-2.22376	0.0262	99876958	0.387275630252101	0	0	Primary	NA	B	1403002861	1502879819	NA	NA
NA	MLYCD	16	2.217	0.0266	83899126	0.389911666666667	0	0	Primary	NA	B	2835872847	2919771973	NA	NA
NA	RIMS3	1	-2.20188	0.02767	40620679	0.402049228346457	0	0	Primary	NA	B	0	40620679	NA	NA
NA	GLRX3	10	-2.1909	0.02846	130136399	0.402049228346457	0	0	Primary	NA	B	1934034850	2064171249	NA	NA
NA	PACSIN3	11	2.19118	0.028439	47177525	0.402049228346457	0	0	Primary	NA	B	2097428944	2144606469	NA	NA
NA	C1QBP	17	-2.1891	0.028592	5432777	0.402049228346457	0	0	Primary	NA	B	2955820772	2961253549	NA	NA
NA	FTSJ3	17	2.1831	0.029028	63819433	0.402049228346457	0	0	Primary	NA	B	2955820772	3019640205	NA	NA
NA	ARB2A	5	-2.192	0.0284	93618069	0.402049228346457	0	0	Primary	NA	B	992234598	1085852667	NA	NA
NA	ESYT2	7	-2.183	0.029	158730995	0.402049228346457	0	0	Primary	NA	B	1403002861	1561733856	NA	NA
NA	HSPG2	1	-2.12861	0.03329	21822245	0.409700416666667	0	0	Primary	NA	B	0	21822245	NA	NA
NA	CAMK2G	10	2.127	0.03342	73812501	0.409700416666667	0	0	Primary	NA	B	1934034850	2007847351	NA	NA
NA	MPI	15	2.167	0.030221	74890005	0.409700416666667	0	0	Primary	NA	B	2704219249	2779109254	NA	NA
NA	CMC2	16	-2.1593	0.0308	80975801	0.409700416666667	0	0	Primary	NA	B	2835872847	2916848648	NA	NA
NA	VAT1L	16	2.1371	0.0326	77788530	0.409700416666667	0	0	Primary	NA	B	2835872847	2913661377	NA	NA
NA	MBOAT7	19	2.1586	0.0309	54173413	0.409700416666667	0	0	Primary	NA	B	3178873248	3233046661	NA	NA
NA	STRN	2	-2.13057	0.0331	36843640	0.409700416666667	0	0	Primary	NA	B	276724047	313567687	NA	NA
NA	PLCL1	2	-2.15064	0.0315	197804702	0.409700416666667	0	0	Primary	NA	B	276724047	474528749	NA	NA
NA	NAGK	2	-2.13809	0.0325	71064344	0.409700416666667	0	0	Primary	NA	B	276724047	347788391	NA	NA
NA	OLA1	2	-2.16884	0.0301	174072447	0.409700416666667	0	0	Primary	NA	B	276724047	450796494	NA	NA
NA	FABP1	2	-2.1561	0.0311	88122991	0.409700416666667	0	0	Primary	NA	B	276724047	364847038	NA	NA
NA	ABHD12	20	-2.1341	0.03284	25294743	0.409700416666667	0	0	Primary	NA	B	3267424814	3292719557	NA	NA
NA	GSTT2B	22	2.1422	0.03218	23957414	0.409700416666667	0	0	Primary	NA	B	3437918941	3461876355	NA	NA
NA	MCCC1	3	2.1402	0.03234	183015218	0.409700416666667	0	0	Primary	NA	B	548458626	731473844	NA	NA
NA	NQO2	6	2.1282	0.03332	2987987	0.409700416666667	0	0	Primary	NA	B	1202467741	1205455728	NA	NA
NA	RRM2B	8	-2.1256	0.03354	102204502	0.409700416666667	0	0	Primary	NA	B	1591733856	1693938358	NA	NA
NA	SCAI	9	2.1498	0.03157	124942608	0.409700416666667	0	0	Primary	NA	B	1766574898	1891517506	NA	NA
NA	EPHB2	1	2.113	0.0346	22710839	0.410433333333333	0	0	Primary	NA	B	0	22710839	NA	NA
NA	C2CD2L	11	2.11413	0.034504	119102198	0.410433333333333	0	0	Primary	NA	B	2097428944	2216531142	NA	NA
NA	GLRX5	14	2.11433	0.034487	95533503	0.410433333333333	0	0	Primary	NA	B	2568732932	2664266435	NA	NA
NA	ISYNA1	19	2.108	0.035	18434388	0.410433333333333	0	0	Primary	NA	B	3178873248	3197307636	NA	NA
NA	UMPS	3	2.111	0.03477	124730366	0.410433333333333	0	0	Primary	NA	B	548458626	673188992	NA	NA
NA	ABL1	9	-2.1102	0.03484	130713946	0.410433333333333	0	0	Primary	NA	B	1766574898	1897288844	NA	NA
NA	RAB18	10	2.1	0.03573	27504268	0.410778235294118	0	0	Primary	NA	B	1934034850	1961539118	NA	NA
NA	GOLGA3	12	2.1025	0.035506	132768909	0.410778235294118	0	0	Primary	NA	B	2261682439	2394451348	NA	NA
NA	MMUT	6	-2.1	0.03573	49430360	0.410778235294118	0	0	Primary	NA	B	1202467741	1251898101	NA	NA
NA	RHOA	3	2.0963	0.03606	49359145	0.41188012987013	0	0	Primary	NA	B	548458626	597817771	NA	NA
NA	LAMC1	1	-2.08835	0.03677	183023460	0.415167701863354	0	0	Primary	NA	B	0	183023460	NA	NA
NA	ACY3	11	2.084	0.03716	67642555	0.415167701863354	0	0	Primary	NA	B	2097428944	2165071499	NA	NA
NA	SMG6	17	-2.077	0.037802	2059839	0.415167701863354	0	0	Primary	NA	B	2955820772	2957880611	NA	NA
NA	PEPD	19	-2.0759	0.0379	33386950	0.415167701863354	0	0	Primary	NA	B	3178873248	3212260198	NA	NA
NA	WDFY1	2	2.07446	0.038	223855716	0.415167701863354	0	0	Primary	NA	B	276724047	500579763	NA	NA
NA	STX7	6	2.0823	0.03732	132445867	0.415167701863354	0	0	Primary	NA	B	1202467741	1334913608	NA	NA
NA	PPP2R2A	8	2.0843	0.03713	26291491	0.415167701863354	0	0	Primary	NA	B	1591733856	1618025347	NA	NA
NA	DCAKD	17	2.056	0.039781	45023340	0.431943080246914	0	0	Primary	NA	B	2955820772	3000844112	NA	NA
NA	ADPRHL1	13	-2.05	0.04033	113421945	0.435217607361963	0	0	Primary	NA	B	2424451348	2537873293	NA	NA
NA	TATDN3	1	2.039	0.04145	212791828	0.437116766467066	0	0	Primary	NA	B	0	212791828	NA	NA
NA	ULK3	15	-2.045	0.040813	74836116	0.437116766467066	0	0	Primary	NA	B	2704219249	2779055365	NA	NA
NA	TARS3	15	-2.041	0.041205	101653598	0.437116766467066	0	0	Primary	NA	B	2704219249	2805872847	NA	NA
NA	VPS4A	16	-2.0383	0.0415	69311356	0.437116766467066	0	0	Primary	NA	B	2835872847	2905184203	NA	NA
NA	TIPRL	1	2.03464	0.04189	168178933	0.438598273809524	0	0	Primary	NA	B	0	168178933	NA	NA
NA	ACYP1	14	2.026	0.042765	75053221	0.439904298245614	0	0	Primary	NA	B	2568732932	2643786153	NA	NA
NA	GALK2	15	2.026	0.042765	49155656	0.439904298245614	0	0	Primary	NA	B	2704219249	2753374905	NA	NA
NA	MZT2B	2	2.02784	0.0426	130181737	0.439904298245614	0	0	Primary	NA	B	276724047	406905784	NA	NA
NA	ACOT1	14	-2.02231	0.043145	73537114	0.441232877906977	0	0	Primary	NA	B	2568732932	2642270046	NA	NA
NA	CYB5R3	22	2.0194	0.04344	42617840	0.441681849710983	0	0	Primary	NA	B	3437918941	3480536781	NA	NA
NA	ZMPSTE24	1	-2.005	0.04496	40258107	0.454509425287356	0	0	Primary	NA	B	0	40258107	NA	NA
NA	PLEKHA6	1	-1.99475	0.04607	204218851	0.463069314285714	0	0	Primary	NA	B	0	204218851	NA	NA
NA	UCHL5	1	1.98526	0.04712	193012250	0.470932272727273	0	0	Primary	NA	B	0	193012250	NA	NA
NA	CENPV	17	1.982	0.047479	16342534	0.471839327683616	0	0	Primary	NA	B	2955820772	2972163306	NA	NA
NA	RASGRF1	15	1.974	0.048419	78959947	0.478477646067416	0	0	Primary	NA	B	2704219249	2783179196	NA	NA
NA	CTSC	11	-1.96238	0.049718	88293592	0.485855344444444	0	0	Primary	NA	B	2097428944	2185722536	NA	NA
NA	GMFB	14	-1.963	0.049646	54474484	0.485855344444444	0	0	Primary	NA	B	2568732932	2623207416	NA	NA
NA	EMB	5	1.951	0.0511	50396192	0.490225652173913	0	0	Primary	NA	B	992234598	1042630790	NA	NA
NA	MOXD1	6	-1.9491	0.05128	132296055	0.490225652173913	0	0	Primary	NA	B	1202467741	1334763796	NA	NA
NA	SLC25A27	6	1.9504	0.05113	46652941	0.490225652173913	0	0	Primary	NA	B	1202467741	1249120682	NA	NA
NA	ASL	7	1.95303	0.0508	66075798	0.490225652173913	0	0	Primary	NA	B	1403002861	1469078659	NA	NA
NA	DNAJC11	1	1.91852	0.05504	6634168	0.491898131313131	0	0	Primary	NA	B	0	6634168	NA	NA
NA	SLC9A1	1	-1.92394	0.05436	27098815	0.491898131313131	0	0	Primary	NA	B	0	27098815	NA	NA
NA	ACP6	1	1.916	0.05537	147629652	0.491898131313131	0	0	Primary	NA	B	0	147629652	NA	NA
NA	EXOC6	10	1.9161	0.05535	92831178	0.491898131313131	0	0	Primary	NA	B	1934034850	2026866028	NA	NA
NA	SNX15	11	1.931	0.053483	65027408	0.491898131313131	0	0	Primary	NA	B	2097428944	2162456352	NA	NA
NA	BBOX1	11	-1.9341	0.0531	27040725	0.491898131313131	0	0	Primary	NA	B	2097428944	2124469669	NA	NA
NA	SAA2	11	-1.91997	0.054862	18239223	0.491898131313131	0	0	Primary	NA	B	2097428944	2115668167	NA	NA
NA	CRYL1	13	1.923	0.05442	20403667	0.491898131313131	0	0	Primary	NA	B	2424451348	2444855015	NA	NA
NA	CHMP1A	16	-1.925	0.0542	89644431	0.491898131313131	0	0	Primary	NA	B	2835872847	2925517278	NA	NA
NA	PLCD3	17	-1.9441	0.05188	45108967	0.491898131313131	0	0	Primary	NA	B	2955820772	3000929739	NA	NA
NA	SCLY	2	1.93518	0.053	238060889	0.491898131313131	0	0	Primary	NA	B	276724047	514784936	NA	NA
NA	HACL1	3	-1.9301	0.0536	15560704	0.491898131313131	0	0	Primary	NA	B	548458626	564019330	NA	NA
NA	DHX36	3	1.9194	0.05493	154272546	0.491898131313131	0	0	Primary	NA	B	548458626	702731172	NA	NA
NA	SHC3	9	1.93	0.05361	89013145	0.491898131313131	0	0	Primary	NA	B	1766574898	1855588043	NA	NA
NA	ART3	4	-1.9118	0.055896	76011184	0.494075698492462	0	0	Primary	NA	B	775968409	851979593	NA	NA
NA	RPA2	1	-1.90593	0.05666	27891524	0.495845472636816	0	0	Primary	NA	B	0	27891524	NA	NA
NA	RAB37	17	1.907	0.056521	74670578	0.495845472636816	0	0	Primary	NA	B	2955820772	3030491350	NA	NA
NA	FAM171A1	10	1.8977	0.05774	15211643	0.497865980392157	0	0	Primary	NA	B	1934034850	1949246493	NA	NA
NA	RASA2	3	-1.8998	0.05746	141487047	0.497865980392157	0	0	Primary	NA	B	548458626	689945673	NA	NA
NA	PTGR1	9	1.8991	0.05755	111549722	0.497865980392157	0	0	Primary	NA	B	1766574898	1878124620	NA	NA
NA	WDR47	1	1.893	0.05836	108970214	0.50059270531401	0	0	Primary	NA	B	0	108970214	NA	NA
NA	SCO2	22	-1.8888	0.05891	50523568	0.50059270531401	0	0	Primary	NA	B	3437918941	3488442509	NA	NA
NA	THSD7A	7	1.889	0.0589	11370357	0.50059270531401	0	0	Primary	NA	B	1403002861	1414373218	NA	NA
NA	THEM4	1	1.88179	0.05986	151873584	0.505541601895735	0	0	Primary	NA	B	0	151873584	NA	NA
NA	BORCS7	10	1.8775	0.06045	102854223	0.505541601895735	0	0	Primary	NA	B	1934034850	2036889073	NA	NA
NA	LACTB	15	1.876	0.060642	63121800	0.505541601895735	0	0	Primary	NA	B	2704219249	2767341049	NA	NA
NA	SLC20A2	8	-1.8781	0.06037	42416475	0.505541601895735	0	0	Primary	NA	B	1591733856	1634150331	NA	NA
NA	WARS2	1	1.86335	0.06241	119031216	0.506348820276498	0	0	Primary	NA	B	0	119031216	NA	NA
NA	NDUFAF1	15	1.867	0.061838	41387353	0.506348820276498	0	0	Primary	NA	B	2704219249	2745606602	NA	NA
NA	NT5C	17	1.863	0.062466	75130225	0.506348820276498	0	0	Primary	NA	B	2955820772	3030950997	NA	NA
NA	GCC2	2	-1.8651	0.0622	108448561	0.506348820276498	0	0	Primary	NA	B	276724047	385172608	NA	NA
NA	PITPNB	22	-1.872	0.06121	27851669	0.506348820276498	0	0	Primary	NA	B	3437918941	3465770610	NA	NA
NA	MELTF	3	1.866	0.06204	196988621	0.506348820276498	0	0	Primary	NA	B	548458626	745447247	NA	NA
NA	DPYSL5	2	1.86075	0.0628	26847747	0.506721100917431	0	0	Primary	NA	B	276724047	303571794	NA	NA
NA	PPM1J	1	1.85174	0.06406	112709994	0.513947818181818	0	0	Primary	NA	B	0	112709994	NA	NA
NA	UAP1L1	9	-1.8502	0.06428	137077501	0.513947818181818	0	0	Primary	NA	B	1766574898	1903652399	NA	NA
NA	DISP2	15	1.837	0.06621	40358235	0.517670614035088	0	0	Primary	NA	B	2704219249	2744577484	NA	NA
NA	PDXDC1	16	-1.8426	0.0654	14974591	0.517670614035088	0	0	Primary	NA	B	2835872847	2850847438	NA	NA
NA	GLOD4	17	-1.8333	0.066758	757097	0.517670614035088	0	0	Primary	NA	B	2955820772	2956577869	NA	NA
NA	RTN4	2	-1.84013	0.0657	54972189	0.517670614035088	0	0	Primary	NA	B	276724047	331696236	NA	NA
NA	PEX6	6	1.8325	0.06688	42963870	0.517670614035088	0	0	Primary	NA	B	1202467741	1245431611	NA	NA
NA	GIMAP4	7	1.83607	0.0663	150567277	0.517670614035088	0	0	Primary	NA	B	1403002861	1553570138	NA	NA
