Analytes	EntrezGeneSymbol
X10866.60	PPP4R3A
X10870.32	SPAST
X10876.300	BRAT1
X10880.38	FAM163B
X10882.12	DSC1
X10885.36	C6orf89
X10889.2	MRAP2
X10890.135	LCTL
X10892.8	OSMR
X10894.25	SCGN
X10895.28	TMPRSS11B
X10900.272	STMN2
X10903.50	STX8
X10907.116	NTM
X10908.2	GALNT13
X10910.6	CEACAM4
X10916.44	PLA2R1
X10917.40	GNGT2
X10924.258	CYB5D2
X10933.107	CALN1
X10938.13	CD58
X10939.16	PLEKHA4
X10940.25	SRL
X10945.11	STX6
X10948.14	PLD3
X10949.59	RPLP2
X10953.14	CLEC2A
X10955.4	CLEC10A
X10956.82	GCSH
X10959.125	BET1L
X10961.15	PLAAT4
X10966.1	AHSG
X10967.12	PRL
X10970.3	ART3
X10974.20	SPINK7
X10975.59	MUCL1
X10976.44	MUC1
X10977.55	UCMA
X10978.39	GH2
X10980.11	ACHE
X10981.56	NRG3
X10990.21	LRRK2
X11067.13	BGLAP
X11071.1	IL5
X11081.1	GPD1
X11083.23	ENO2
X11089.7	IGHA1|IGHA2
X11094.104	CLC
X11096.57	N6AMT1
X11098.1	PDXK
X11101.18	TLR4
X11102.22	REG4
X11103.24	HSPB1
X11104.13	CHI3L1
X11105.171	ENO1
X11107.25	TENM3
X11109.56	SVEP1
X11110.4	TMEM119
X11112.18	TMEM167A
X11116.16	C11orf87
X11117.2	SPATA20
X11118.107	RAB17
X11120.49	NAT14
X11121.56	VWC2
X11122.97	SPG21
X11126.102	TRIO
X11128.29	TMEM132C
X11129.66	BMP15
X11130.158	CACNB4
X11134.30	MTRF1L
X11135.5	MRPL55
X11137.43	CSF2RB
X11138.16	RUNX3
X11140.56	COL1A1
X11142.11	ANGPTL1
X11143.32	OLFM3
X11144.10	DEFB116
X11145.72	KIAA1549L
X11146.4	TBX22
X11147.17	TREML1
X11149.3	TLR1
X11150.3	COL6A1
X11152.46	KLK13
X11154.3	NFE2L1
X11155.16	COL6A5
X11158.40	BICDL1
X11159.14	MUL1
X11160.56	RNF122
X11161.5	SPART
X11162.37	EQTN
X11163.7	FAM162B
X11164.7	TENM2
X11167.6	MTMR1
X11168.3	MEGF10
X11173.29	MILR1
X11174.8	THSD7A
X11175.45	LPCAT2
X11177.16	KRT5
X11178.21	SVEP1
X11179.7	TSSK1B
X11180.17	SMARCC1
X11184.51	CHGA
X11185.145	GCH1
X11186.12	TMEM52
X11187.11	CLEC12A
X11190.129	YME1L1
X11192.168	TINAGL1
X11193.27	HNF1A
X11194.6	SIT1
X11196.31	COL6A3
X11198.37	CREB3L1
X11200.52	CD93
X11201.19	PUS1
X11202.70	TBX5
X11203.97	PKLR
X11204.80	CXADR
X11205.10	ITGB7
X11207.3	MSR1
X11208.15	NAGPA
X11211.7	TBCE
X11212.7	TXNDC5
X11214.40	DNAJB9
X11215.6	CDH15
X11217.16	CTBP1
X11218.84	TPMT
X11219.95	FGFBP3
X11220.53	C10orf105
X11223.1	TMEM154
X11226.16	UBE3A
X11227.31	TBL2
X11228.37	RIC3
X11229.16	ERN1
X11231.12	FDX2
X11232.46	TCN1
X11237.49	PCOLCE
X11239.49	TMPRSS6
X11241.8	ASL
X11242.33	TGM1
X11243.90	ADGRF1
X11245.43	FLNA
X11246.3	BPIFB1
X11247.20	NAGS
X11248.43	UROS
X11252.30	LRCH4
X11254.13	PAPLN
X11257.1	QDPR
X11258.41	MADCAM1
X11260.47	SUN5
X11262.39	TRABD
X11263.57	CASQ1
X11264.33	XDH
X11265.8	ALDH1A1
X11266.8	SELPLG
X11270.17	CHCHD10
X11273.176	GSTT2B
X11275.94	LRP1B
X11277.23	ATF6
X11278.4	COL11A2
X11279.42	GABBR1
X11280.6	GAD1
X11281.6	GRB7
X11282.16	MSR1
X11283.13	DCAF5
X11284.24	LAIR1
X11285.8	CD34
X11286.78	SELENOS
X11287.14	CYB5A
X11288.26	NT5C2
X11289.31	CSNK1D
X11292.13	SCARA3
X11293.14	LRRN1
X11294.7	TMCC3
X11297.54	NOTCH2
X11300.32	SORT1
X11302.237	TNR
X11303.7	SAMHD1
X11307.33	WWP1
X11308.8	CREB3L4
X11310.8	DSG3
X11311.79	RAG1
X11312.40	PMS2
X11313.100	PCBD1
X11315.148	PPM1D
X11318.20	APOA5
X11319.106	MRE11
X11320.29	CHFR
X11324.3	PXDNL
X11325.8	BTG2
X11328.9	USB1
X11330.15	CSNK2B
X11333.82	ARHGAP25
X11334.7	LILRB3
X11336.9	FANCF
X11338.49	BLK
X11342.59	PLXDC2
X11348.132	P4HA2
X11350.30	STUB1
X11351.233	NHEJ1
X11352.42	TTN
X11353.143	SMAD2
X11354.21	PLCB1
X11355.10	EIF5A2
X11356.19	ESS2
X11358.15	GRB10
X11360.39	RRM1
X11361.73	TYMP
X11363.58	AQP4
X11364.18	MFN1
X11365.17	TENM4
X11368.32	AK2
X11369.23	ADH5
X11370.20	INPP5E
X11371.1	GPR101
X11372.2	ZNF18
X11375.49	FOXL2
X11377.19	ADH7
X11378.37	SYK
X11380.84	RBM24
X11381.56	PRPS1
X11382.5	BLVRA
X11383.41	KRT7
X11387.3	ATF6B
X11388.75	WFDC2
X11390.24	CA8
X11391.69	MVK
X11395.5	PTK2B
X11396.39	DNAI1
X11401.181	RNF146
X11402.17	KMT2C
X11405.150	CARD9
X11406.82	ACAD8
X11407.57	PLSCR3
X11416.23	FBXL4
X11421.10	EHD4
X11422.2	DLX3
X11424.4	FAH
X11425.31	RUFY1
X11428.31	PDLIM1
X11429.80	HNRNPC
X11430.49	DTX1
X11431.235	RECQL
X11432.11	PQBP1
X11433.11	TCTN2
X11436.6	INA
X11438.6	DNAJB2
X11439.88	RHPN2
X11440.58	SOCS3
X11441.11	PYGL
X11442.1	DNER
X11444.49	POLR3F
X11448.34	GALK1
X11450.110	P4HB
X11454.87	EIF3G
X11456.2	MAGEB10
X11457.53	GALE
X11458.30	PCBP1
X11459.81	ELL
X11462.8	RBFOX2
X11464.9	RELB
X11465.4	GPR135
X11468.15	RBM19
X11476.43	VPS4A
X11480.1	ALDH3A1
X11481.25	HAVCR2
X11486.26	ZNF174
X11487.4	SPOCK1
X11490.42	UBL4A
X11493.169	DYNLL2
X11494.4	ELL2
X11510.31	APOL1
X11510.51	APOL1
X11513.92	CD38
X11514.196	CD59
X11516.7	FABP1
X11530.37	HMBS
X11531.24	VSIR
X11534.6	LRIT3
X11536.9	MYSM1
X11537.12	TFR2
X11538.216	MLYCD
X11539.4	ATP5MF
X11540.37	FOXO3
X11542.11	TMEM230
X11543.84	LIMA1
X11544.39	PHF3
X11545.9	TNFRSF14
X11546.7	CYGB
X11547.84	MUSK
X11548.84	CDC25A
X11549.6	ISL1
X11551.16	HMG20B
X11556.19	ARFGAP1
X11557.3	SMURF1
X11560.76	NFATC4
X11562.9	POLE2
X11563.51	SYTL4
X11565.58	ZNF23
X11566.48	KRT72
X11567.23	ZNF10
X11568.2	FKBP1B
X11570.94	BCAP29
X11571.75	KLRC3
X11572.4	DNM2
X11573.3	SRSF6
X11582.63	DNAJA2
X11586.2	LRRN1
X11587.5	MGA
X11590.5	RBM23
X11591.43	PRC1
X11592.1	ELAVL1
X11593.21	CXCL9
X11596.47	ZNF75D
X11601.26	DHX8
X11602.12	CPNE1
X11606.22	DNAJB6
X11607.15	BRD1
X11608.5	MAP1LC3B
X11614.29	ERH
X11615.16	DAPP1
X11616.9	HSF1
X11617.1	ITGAL
X11618.83	MYB
X11626.7	UBE2V1
X11629.36	TRAF4
X11633.89	AHSA1
X11634.32	RGS10
X11636.33	TAGLN2
X11638.42	B3GALT2
X11643.73	DTX3L
X11645.9	P4HA1
X11646.4	CHST9
X11647.6	FZD10
X11649.3	SMAP1
X11651.24	AGO1
X11653.69	SLC6A9
X11654.77	NRSN1
X11656.110	EVL
X11657.86	SOCS7
X11659.31	CLINT1
X11661.11	NLRP1
X11664.32	ARFGAP2
X11666.72	RGS8
X11667.29	TNS2
X11669.39	SLCO5A1
X11670.18	GPR101
X11671.19	BRPF1
X11672.17	KIF16B
X11677.17	ZDHHC14
X11678.105	GJD2
X11681.8	AGFG1
X11682.7	TXNIP
X11683.19	GGA3
X11690.47	ANAPC7
X11692.21	SHC4
X11696.7	CRABP2
X11699.16	PTP4A2
X11708.2	LCN1
X11709.29	CPT1B
X11712.207	UNC45A
X11715.1	POU2F1
X11716.28	LRIT2
X11814.29	MET
X11816.84	JAK2
X11817.1	RPS6KB1
X11825.27	PPARGC1A
X11827.7	RORC
X11830.48	PTPN11
X11833.83	FXN
X11836.144	DDR1
X11837.7	TNFRSF18
X11838.130	PIEZO1
X11851.21	TREM2
X11872.9	PCDHGB1
X11910.27	DLX4
X11911.13	LRRC4B
X11926.23	AAGAB
X11934.9	INTS3
X11949.25	EGF
X11952.1	IGDCC3
X11955.1	ARHGAP1
X11967.23	CRABP1
X11969.5	S100A2
X11988.24	PTPRH
X11989.35	EMC1
X12001.7	TJP1
X12008.3	CD7
X12014.19	PTS
X12016.60	CBL
X12018.84	TPK1
X12020.39	BPGM
X12022.12	SMAD4
X12030.82	DES
X12033.3	BUB1
X12046.51	TARDBP
X12077.32	MSTN
X12329.21	RPS6KA1
X12332.7	EEF2K
X12333.87	RPIA
X12334.25	SHMT1
X12338.27	EGFLAM
X12340.17	AARS1
X12341.8	DUSP6
X12343.14	ACAP2
X12345.4	ANAPC10
X12347.29	CCM2
X12348.46	SARS2
X12350.86	ETS2
X12351.25	STAT1
X12352.70	ARRDC3
X12355.223	MRRF
X12356.65	SRI
X12357.41	SNAP29
X12358.6	IGBP1
X12361.102	RRAS2
X12363.70	TRIB2
X12365.108	RUVBL1
X12366.16	CRYGD
X12367.52	MACO1
X12368.18	KAT2B
X12370.30	APOF
X12372.50	TPM3
X12373.73	TRA2B
X12374.8	PAFAH1B3
X12376.85	CDKN2D
X12378.71	TAPBP
X12381.26	CBR1
X12382.2	DDX58
X12384.92	COPS7B
X12385.4	CAPN3
X12386.11	RNPEP
X12387.7	PDLIM4
X12389.4	ORC6
X12391.27	PDZD7
X12392.30	ARL1
X12394.53	C16orf54
X12395.86	DARS2
X12396.19	HIBCH
X12398.15	PAX4
X12399.194	CCDC50
X12400.25	UBE2T
X12401.3	STAMBPL1
X12403.30	RAB39B
X12406.119	DIRAS3
X12408.333	RAB22A
X12409.90	RAB7B
X12411.60	MAX
X12414.31	YWHAB
X12415.122	EDF1
X12417.46	TPRKB
X12422.143	ALOX15B
X12423.38	A1CF
X12424.107	THYN1
X12425.104	ARF6
X12426.19	MOB1A
X12427.8	CDC25B
X12428.2	LYPLAL1
X12430.78	PAIP1
X12431.13	PELO
X12432.23	CACYBP
X12433.8	ARL11
X12434.25	IST1
X12437.18	ULK3
X12438.127	MPG
X12439.67	IRF9
X12442.4	RHOD
X12444.39	NR5A2
X12445.50	ANKRD27
X12446.49	GSTA1
X12448.246	NMT1
X12449.16	PPIH
X12450.42	PMVK
X12451.62	BACH1
X12452.32	KMT5C
X12453.161	NXF1
X12454.105	NTMT1
X12455.48	MYNN
X12456.5	PFKFB3
X12457.10	ADI1
X12458.79	CHP1
X12459.13	PLEKHA1
X12460.18	PSMA7
X12461.8	SIRT5
X12462.20	SETMAR
X12463.7	KLHL13
X12466.7	HNRNPA1
X12469.19	MAPRE1
X12471.47	STAU1
X12473.48	KCTD5
X12475.48	CLIC5
X12476.50	TIGAR
X12477.42	TSN
X12478.15	RPL30
X12479.50	PRKAR1B
X12482.5	BPTF
X12483.62	RORB
X12484.67	PITPNB
X12486.8	GLRX2
X12488.9	MCTS1
X12490.92	LAMTOR3
X12491.23	CLIC4
X12493.42	OTUB2
X12494.99	GABARAPL2
X12497.29	NUDT16L1
X12498.12	TAX1BP3
X12499.108	SH3GL2
X12501.10	TBCA
X12503.5	GPR68
X12504.26	LMOD1
X12507.16	ITPKC
X12508.9	CHMP3
X12509.115	COMMD1
X12510.3	STAP1
X12511.83	SLC41A2
X12513.8	GLTP
X12514.16	METTL1
X12515.45	UCK2
X12516.13	TEAD4
X12517.52	PDCD5
X12518.289	PBRM1
X12521.3	CDKN2C
X12522.6	RAD23B
X12524.18	SAT2
X12527.50	THRA
X12528.40	WRNIP1
X12530.14	CKS1B
X12531.5	ERVV-1
X12532.28	CDC34
X12533.135	CYTH2
X12534.10	CALCOCO2
X12535.2	XRCC1
X12536.46	MTMR6
X12537.88	PURA
X12538.19	RGS7
X12540.25	RHOG
X12543.76	ZNF560
X12546.1	SMTN
X12548.75	RRAGC
X12549.33	HPGDS
X12551.3	ITCH
X12553.5	VRK1
X12554.10	RAD51D
X12556.7	UBE2C
X12557.18	NOVA1
X12558.3	UBASH3B
X12560.9	NT5C
X12562.1	PKN1
X12563.2	TNFAIP8
X12564.9	NIP7
X12568.14	KEAP1
X12569.25	CCT5
X12571.14	ARL3
X12572.236	EFS
X12573.80	TRIM3
X12575.30	MTHFD1
X12576.21	MAGEA3
X12577.100	FEN1
X12578.13	ARF3
X12580.7	PSMB5
X12581.39	IMPA2
X12583.77	ARAF
X12585.39	ERCC1
X12587.65	ARL2
X12591.27	OPHN1
X12593.33	PDRG1
X12594.5	GCA
X12595.11	TMOD1
X12597.68	ATG5
X12599.10	FERMT3
X12603.87	PABPC4
X12604.16	SCMH1
X12605.1	EXOSC3
X12612.37	PSMB1
X12616.45	NRBP1
X12618.50	AKR1C1
X12619.14	PPM1A
X12620.3	SEPTIN11
X12621.55	PPP2R1A
X12622.96	ASH1L
X12623.84	JARID2
X12625.138	KLHL7
X12626.6	SENP7
X12627.97	ATG7
X12628.31	LANCL2
X12630.8	ARFIP2
X12632.14	NAT1
X12633.3	PTPN9
X12634.79	BCAR3
X12635.9	TRDMT1
X12636.113	SMYD2
X12637.7	CRAT
X12641.3	INPP5B
X12643.4	ARRB1
X12644.63	ADSS2
X12646.2	RPE
X12647.52	SETD2
X12649.80	MDH2
X12650.43	GNAI3
X12651.21	PDK2
X12652.37	AHCYL1
X12653.13	CSNK1G2
X12655.30	NAPB
X12656.1	KLC1
X12657.2	TSTA3
X12658.72	PANK3
X12659.13	OLA1
X12661.44	GABARAPL1
X12662.82	ECH1
X12663.1	TST
X12664.19	PTPN13
X12665.16	ILF2
X12667.2	GDA
X12668.7	VPS4B
X12669.30	HECW1
X12670.15	RAD1
X12671.35	SULT1B1
X12675.14	DARS1
X12676.1	PACSIN1
X12677.164	FLII
X12678.66	SNRPA
X12681.63	USP21
X12682.5	KYAT3
X12683.156	DPYSL5
X12684.5	SCIN
X12685.57	HOMER2
X12686.15	MPST
X12687.2	DECR1
X12688.115	RPS6KA6
X12689.56	ARPC1B
X12690.33	SEPTIN10
X12691.44	SHMT2
X12692.56	DOT1L
X12694.28	DIMT1
X12695.62	KLHL12
X12696.166	PRMT3
X12697.30	PIP4K2A
X12698.72	KPNA4
X12699.28	CCT8
X12700.9	ACLY
X12701.1	EIF1B
X12702.13	PELI2
X12703.6	NEK7
X12704.26	SH2D3C
X12705.9	HERC1
X12706.2	CDC42BPA
X12707.26	DPYSL3
X12708.91	L3MBTL2
X12709.63	H1-10
X12711.19	GJA8
X12712.9	HMG20A
X12713.365	RGS19
X12714.38	AP1G2
X12715.30	DCP1B
X12716.3	ZNF175
X12717.65	TOX3
X12718.43	PIN4
X12720.71	UBQLN4
X12721.4	TAX1BP1
X12724.81	CIRBP
X12726.3	RFXAP
X12727.7	PTGFRN
X12729.12	PSMG3
X12730.3	NDC80
X12731.12	PLEKHA7
X12732.13	MPP7
X12734.112	KIF22
X12735.39	CSDE1
X12737.12	PLS1
X12738.43	NISCH
X12740.55	FEV
X12742.160	TMEM8B
X12743.18	BAG5
X12746.4	CYTH4
X12747.89	RBM3
X12748.6	BRDT
X12750.9	ITGB2
X12751.26	ZHX1
X12753.6	APBB2
X12754.14	CSDC2
X12756.3	BACH2
X12758.47	GRID2
X12759.47	ILF3
X12760.34	ZNF774
X12761.12	APBB2
X12763.69	ZNF334
X12764.3	ELMO1
X12766.33	GPR142
X12768.3	PPP1R3B
X12771.19	ZNF180
X12772.8	NUP98
X12774.12	HCN1
X12775.6	HMGB3
X12777.11	SF1
X12781.2	TARBP2
X12783.29	HNRNPM
X12784.10	APBB3
X12785.49	ZBTB33
X12786.61	GPCPD1
X12787.47	ZNF134
X12788.6	SGF29
X12790.10	CCDC51
X12793.4	PIWIL1
X12794.6	NLRP4
X12795.2	ZNF566
X12796.44	NUDT3
X12798.46	SLC4A8
X12799.65	DNAJC27
X12800.5	TPPP2
X12801.33	IRF2
X12803.9	ZNF329
X12804.5	GMEB2
X12807.89	ARHGAP30
X12808.103	CARHSP1
X12811.55	ZNF415
X12812.25	ACYP2
X12813.18	EHBP1
X12814.17	RNPC3
X12815.9	IARS1
X12817.1	GEM
X12818.159	SLC14A2
X12820.1	GRAP
X12821.6	NLRP10
X12822.34	APBB1
X12825.18	APPL1
X12826.5	SLC5A5
X12827.37	RGS3
X12830.4	SAP18
X12831.21	TESC
X12832.10	ASH2L
X12834.3	KCNF1
X12835.101	PYDC1
X12838.28	DUSP15
X12842.43	STX10
X12843.6	ZNF410
X12844.10	BAG4
X12845.18	SNX17
X12846.3	FBXL5
X12847.27	RNGTT
X12848.9	ARHGEF2
X12849.25	GSKIP
X12851.5	POLM
X12853.112	TMOD2
X12854.3	TEAD3
X12855.16	CASS4
X12856.14	TMEM237
X12859.33	ECI2
X12860.7	ARPP21
X12861.13	TMOD3
X12862.14	NEDD9
X12864.9	NIPAL4
X12867.40	DYNLT3
X12869.68	DDX6
X12871.10	TWF1
X12872.35	CNGA2
X12873.11	SPN
X12875.28	UBTD2
X12876.39	SPEF1
X12878.60	OSBPL11
X12879.5	RBL1
X12880.1	SV2A
X12881.17	RDH16
X12882.7	PARP11
X12885.42	NR1D2
X12888.18	SAP30
X12891.1	MICALL2
X12892.10	SYTL1
X12893.159	IFI16
X12894.3	PAXIP1
X12895.28	DGKB
X12904.180	CUBN
X12916.3	MTCP1
X12923.51	KRT17
X12925.105	AXIN2
X12931.16	NR3C2
X12934.1	HERC5
X12936.38	RLBP1
X12939.1	POLR1C
X12940.35	ALDH3B1
X12945.33	RAB18
X12954.71	PPARA
X12956.40	KIFBP
X12957.62	UQCRB
X12960.9	GCK
X12963.1	GPR107
X12968.2	CSRP2
X12970.35	STAU2
X12975.11	KRT20
X12976.49	SORBS3
X12980.31	RBM22
X12986.12	LIN7C
X12987.12	SRSF7
X12988.49	EWSR1
X12990.39	MAP3K3
X12991.49	CUL9
X12993.21	NPLOC4
X13007.66	LCN10
X13013.41	PRKN
X13022.20	TP53I11
X13025.4	FRS2
X13027.20	CBX7
X13032.1	BECN1
X13039.1	PPP1R8
X13041.47	TRAF4
X13042.7	KCNA10
X13043.157	ATAD2
X13044.5	TSG101
X13053.6	SLC6A14
X13054.87	PFN2
X13055.53	PSD
X13056.18	SLC6A16
X13059.33	RFK
X13062.4	GMFG
X13066.42	EDC4
X13067.5	PRKG1
X13073.14	ANP32A
X13076.4	FXR1
X13078.3	CETN2
X13082.9	UNC45A
X13083.18	VARS1
X13085.18	GLP1R
X13088.397	BTC
X13089.6	HIF1A
X13090.17	S100A6
X13093.6	SECTM1
X13094.75	RSPO3
X13095.51	REG1A
X13097.11	BCL2L2
X13098.93	VEGFD
X13101.60	SOST
X13102.1	FAM3D
X13103.125	CSH1|CSH2
X13104.32	EFNB1
X13105.7	SNAP25
X13107.9	LYPD3
X13109.82	NEGR1
X13112.179	FSTL1
X13113.7	SPP1
X13114.50	LUM
X13116.25	CD177
X13117.232	CHKB
X13118.5	SMOC1
X13119.26	SERPINA10
X13122.19	FLRT2
X13123.3	FLRT3
X13124.20	ISLR2
X13125.45	VTN
X13126.52	DSC2
X13129.40	LDLR
X13130.150	HK2
X13131.5	HK1
X13132.14	SEMA5A
X13133.73	LTBP4
X13228.75	MDM2
X13229.20	MDM4
X13230.174	IGHG2
X13231.90	IGHG4
X13236.25	WNT3A
X13240.170	SHANK1
X13242.134	SHANK3
X13256.21	SHANK1
X13268.45	WNT5A
X13374.4	DEFB113
X13375.48	SYNGR3
X13377.3	CYB561D1
X13378.80	C5orf63
X13381.49	B4GALT1
X13384.110	FH
X13386.248	RNF34
X13387.55	EHF
X13388.57	PCSK1
X13392.13	ATP1B1
X13393.46	DERL1
X13399.33	RELL1
X13403.5	ETV5
X13405.61	SPINK2
X13406.161	CD300C
X13408.23	WFIKKN2
X13411.21	RNF41
X13412.5	WFDC6
X13416.8	TMEM132D
X13421.17	TMEM167B
X13422.66	ENOX2
X13423.94	PRXL2A
X13427.66	MAN1C1
X13429.3	WFDC10A
X13430.50	SLC14A1
X13431.74	SHISAL2A
X13432.9	ZFYVE27
X13434.172	PARVA
X13435.31	IL20RB
X13436.54	MAZ
X13438.115	CHRD
X13439.6	IQCF3
X13441.30	DIXDC1
X13447.42	SPRN
X13449.25	SF3B4
X13450.49	USP8
X13451.2	FNDC4
X13452.113	SMIM13
X13453.2	MRPL33
X13457.33	ELF5
X13459.30	TOR4A
X13460.4	CHAD
X13463.1	PXDN
X13464.8	NRAC
X13465.5	RCAN1
X13468.5	NEURL4
X13470.43	PTH1R
X13472.35	HDHD2
X13473.55	ITPKA
X13474.40	GSTK1
X13475.10	UBE2D4
X13476.16	KIN
X13477.65	LTB4R
X13479.8	FAM171A2
X13481.24	TCEA2
X13482.14	CNOT1
X13484.69	COL1A1
X13485.20	TMEM87B
X13486.9	PKD2
X13487.24	UNC93B1
X13488.3	ARFIP1
X13490.1	MPP6
X13491.40	PDE6D
X13492.44	HSPA9
X13493.5	GRID1
X13494.6	CERS5
X13495.48	HCAR2
X13496.19	HMGCS1
X13497.34	EIF3J
X13498.1	MIOX
X13499.30	F8
X13501.10	SLC35G2
X13502.2	SLC26A11
X13503.19	ARL6IP5
X13504.147	HNRNPR
X13506.10	DUS2
X13509.5	SCAMP5
X13510.7	ATP2A3
X13511.29	SATB1
X13512.28	HNRNPR
X13513.174	PIAS3
X13515.8	RPRD1A
X13516.46	EMC4
X13517.3	PTCHD3
X13518.5	ASAP2
X13519.112	ARHGEF25
X13522.20	VSNL1
X13524.25	HS6ST2
X13525.17	KCNG4
X13526.5	SSB
X13529.39	NAP1L2
X13530.5	UTS2R
X13532.25	CNEP1R1
X13534.20	MYOM2
X13535.2	CERT1
X13536.56	POLI
X13539.131	KCNN1
X13540.1	GPR26
X13541.1	MYCT1
X13543.7	PTGR1
X13544.9	ARHGAP45
X13545.97	EIF1AD
X13547.5	HTR7
X13548.53	PLPP4
X13549.15	ADAM29
X13552.7	SWAP70
