SomaID	type	EntrezGeneID	EntrezGeneSymbol	TSS	CHR
X11102.22	cis	83998	REG4	119794017	1
X11104.13	cis	1116	CHI3L1	203178931	1
X11109.56	cis	79987	SVEP1	110365248	9
X11117.2	cis	64847	SPATA20	50543058	17
X11142.11	cis	9068	ANGPTL1	178849535	1
X11152.46	cis	26085	KLK13	51055626	19
X11178.21	cis	79987	SVEP1	110365248	9
X11187.11	cis	160364	CLEC12A	9951316	12
X11208.15	cis	51172	NAGPA	5024844	16
X11211.7	cis	6905	TBCE	235367360	1
X11212.7	cis	81567	TXNDC5	7881517	6
X11219.95	cis	143282	FGFBP3	91906584	10
X11227.31	cis	26608	TBL2	73567537	7
X11241.8	cis	435	ASL	66075800	7
X11246.3	cis	92747	BPIFB1	33273480	20
X11257.1	cis	5860	QDPR	17460261	4
X11278.4	cis	1302	COL11A2	33162681	6
X11308.8	cis	148327	CREB3L4	153967534	1
X11313.100	cis	5092	PCBD1	70882280	10
X11333.82	cis	9938	ARHGAP25	68679601	2
X11361.73	cis	1890	TYMP	50525752	22
X11368.32	cis	204	AK2	33007986	1
X11382.5	cis	644	BLVRA	43758680	7
X11387.3	cis	1388	ATF6B	32115264	6
X11388.75	cis	10406	WFDC2	45469753	20
X11424.4	cis	2184	FAH	80152490	15
X11450.110	cis	5034	P4HB	81843159	17
X11480.1	cis	218	ALDH3A1	19737984	17
X11487.4	cis	6695	SPOCK1	136975298	5
X11510.31	cis	8542	APOL1	36253071	22
X11510.51	cis	8542	APOL1	36253071	22
X11516.7	cis	2168	FABP1	88122982	2
X11530.37	cis	3145	HMBS	119084866	11
X11531.24	cis	64115	VSIR	71747556	10
X11547.84	cis	4593	MUSK	110668779	9
X11633.89	cis	10598	AHSA1	77457870	14
X11646.4	cis	83539	CHST9	26906481	18
X11671.19	cis	7862	BRPF1	9731729	3
X11716.28	cis	340745	LRIT2	84220571	10
X11837.7	cis	8784	TNFRSF18	1203508	1
X11955.1	cis	392	ARHGAP1	46677080	11
X12008.3	cis	924	CD7	82314868	17
X12016.60	cis	867	CBL	119206298	11
X12338.27	cis	133584	EGFLAM	38258409	5
X12378.71	cis	6892	TAPBP	33299694	6
X12381.26	cis	873	CBR1	36069941	21
X12386.11	cis	6051	RNPEP	201982372	1
X12387.7	cis	8572	PDLIM4	132257696	5
X12396.19	cis	26275	HIBCH	190189735	2
X12399.194	cis	152137	CCDC50	191329085	3
X12411.60	cis	4149	MAX	65006174	14
X12449.16	cis	10465	PPIH	42658335	1
X12475.48	cis	53405	CLIC5	45880827	6
X12476.50	cis	57103	TIGAR	4307763	12
X12486.8	cis	51022	GLRX2	193090866	1
X12498.12	cis	30851	TAX1BP3	3662895	17
X12504.26	cis	25802	LMOD1	201896456	1
X12513.8	cis	51228	GLTP	109850945	12
X12524.18	cis	112483	SAT2	7626234	17
X12534.10	cis	10241	CALCOCO2	48831018	17
X12549.33	cis	27306	HPGDS	94298535	4
X12560.9	cis	30833	NT5C	75130225	17
X12571.14	cis	403	ARL3	102673731	10
X12612.37	cis	5689	PSMB1	170535120	6
X12641.3	cis	3633	INPP5B	37860697	1
X12646.2	cis	6120	RPE	210002565	2
X12659.13	cis	29789	OLA1	174072447	2
X12667.2	cis	9615	GDA	72114595	9
X12684.5	cis	85477	SCIN	12570577	7
X12727.7	cis	5738	PTGFRN	116909916	1
X12831.21	cis	54997	TESC	117038923	12
X12936.38	cis	6017	RLBP1	89209869	15
X12968.2	cis	1466	CSRP2	76858709	12
X13093.6	cis	6398	SECTM1	82321024	17
X13095.51	cis	5967	REG1A	79120362	2
X13101.60	cis	50964	SOST	43753738	17
X13102.1	cis	131177	FAM3D	58633946	3
X13112.179	cis	11167	FSTL1	120392293	3
X13113.7	cis	6696	SPP1	87975667	4
X13116.25	cis	57126	CD177	43353686	19
X13118.5	cis	64093	SMOC1	69854131	14
X13119.26	cis	51156	SERPINA10	94280460	14
X13125.45	cis	7448	VTN	28367284	17
X13126.52	cis	1824	DSC2	31058840	18
X13132.14	cis	9037	SEMA5A	9035033	5
X13387.55	cis	26298	EHF	34621093	11
X13388.57	cis	5122	PCSK1	96390333	5
X13405.61	cis	6691	SPINK2	56809860	4
X13408.23	cis	124857	WFIKKN2	50834650	17
X13427.66	cis	57134	MAN1C1	25616791	1
X13438.115	cis	8646	CHRD	184380054	3
X13460.4	cis	1101	CHAD	50464496	17
X13472.35	cis	84064	HDHD2	47107408	18
X13543.7	cis	22949	PTGR1	111549722	9
X13552.7	cis	23075	SWAP70	9664077	11
X13563.259	cis	414149	ACBD7	15075475	10
X13599.15	cis	10244	RABEPK	125200542	9
X13624.17	cis	65220	NADK	1751232	1
X13678.169	cis	1675	CFD	859453	19
X13686.2	cis	3568	IL5RA	3066324	3
X13688.2	cis	133690	CAPSL	35904288	5
X13692.154	cis	8840	CCN4	133191039	8
X13707.27	cis	8404	SPARCL1	87473335	4
X13708.56	cis	11202	KLK8	50996007	19
X13710.6	cis	710	SERPING1	57597387	11
X13717.15	cis	2220	FCN2	134880810	9
X13720.95	cis	5657	PRTN3	840999	19
X13722.105	cis	735	C9	39284140	5
X13724.27	cis	9965	FGF19	69698238	11
X13730.18	cis	1075	CTSC	88265069	11
X13731.14	cis	730	C7	40909492	5
X13733.5	cis	3593	IL12B	159314780	5
X13740.51	cis	2487	FRZB	182833275	2
X13742.66	cis	50616	IL22	68248242	12
X13747.9	cis	765	CA6	8945867	1
X13748.4	cis	6355	CCL8	34319435	17
X13929.27	cis	54677	CROT	87345664	7
X13947.371	cis	83594	NUDT12	103548855	5
X13983.27	cis	1429	CRYZ	74705482	1
X14038.130	cis	8530	CST7	24949269	20
X14041.13	cis	3002	GZMB	24630954	14
X14042.11	cis	6422	SFRP1	41261962	8
X14048.7	cis	3556	IL1RAP	190514051	3
X14050.61	cis	1945	EFNA4	155063737	1
X14054.17	cis	3601	IL15RA	5943639	10
X14076.74	cis	1472	CST4	23685640	20
X14078.69	cis	6375	XCL1	168576605	1
X14079.14	cis	8809	IL18R1	102311529	2
X14086.11	cis	10924	SMPDL3A	122789049	6
X14091.42	cis	874	CBR3	36135079	21
X14100.63	cis	714	C1QC	22643014	1
X14102.6	cis	10578	GNLY	85685175	2
X14105.5	cis	5267	SERPINA4	94561442	14
X14107.1	cis	10588	MTHFS	79833585	15
X14108.15	cis	7040	TGFB1	41330323	19
X14109.15	cis	6359	CCL15	35996440	17
X14110.200	cis	6678	SPARC	151661096	5
X14111.15	cis	7058	THBS2	169215780	6
X14121.24	cis	8793	TNFRSF10D	23135588	8
X14123.34	cis	64115	VSIR	71747556	10
X14125.5	cis	55937	APOM	31652416	6
X14133.93	cis	7850	IL1R2	101991960	2
X14134.49	cis	347902	AMIGO2	47075707	12
X14136.234	cis	22918	CD93	23079360	20
X14139.16	cis	145957	NRG4	75935969	15
X14148.2	cis	9636	ISG15	1001138	1
X14151.4	cis	9636	ISG15	1001138	1
X14153.8	cis	1944	EFNA3	155078837	1
X14158.17	cis	308	ANXA5	121667946	4
X14208.3	cis	116362	RBP7	9997206	1
X14254.27	cis	5775	PTPN4	119759922	2
X14273.19	cis	5550	PREP	105273218	6
X14583.49	cis	2660	MSTN	190055700	2
X14696.45	cis	64499	TPSB2	1227272	16
X14708.59	cis	733	C8G	136945185	9
X14711.27	cis	1474	CST6	66012008	11
X14747.9	cis	9244	CRLF1	18572220	19
X15299.102	cis	23184	MESD	80946289	15
X15304.1	cis	5068	REG3A	79157003	2
X15305.7	cis	10590	SCGN	25652201	6
X15316.262	cis	54957	TXNL4B	72044289	16
X15363.32	cis	116519	APOA5	116789367	11
X15367.38	cis	92747	BPIFB1	33273480	20
X15368.3	cis	168667	BMPER	33904308	7
X15370.5	cis	51027	BOLA1	149887890	1
X15375.49	cis	1360	CPB1	148791102	3
X15381.45	cis	4921	DDR2	162631373	1
X15384.15	cis	9365	KL	33016423	13
X15385.116	cis	2169	FABP2	119317250	4
X15388.24	cis	2214	FCGR3A	161541759	1
X15395.15	cis	2944	GSTM1	109687814	1
X15398.2	cis	2671	GFER	1984193	16
X15441.6	cis	2760	GM2A	151212150	5
X15449.33	cis	91937	TIMD4	156919292	5
X15452.5	cis	4907	NT5E	85449584	6
X15455.40	cis	8751	ADAM15	155050566	1
X15466.30	cis	1297	COL9A1	70216040	6
X15470.11	cis	3074	HEXB	74640023	5
X15471.29	cis	5408	PNLIPRP2	116620953	10
X15472.16	cis	84918	LRP11	149818757	6
X15476.6	cis	130120	REG3G	79025686	2
X15480.2	cis	8875	VNN2	132743870	6
X15483.377	cis	375790	AGRN	1020120	1
X15486.126	cis	26	AOC1	150824627	7
X15495.9	cis	2352	FOLR3	72114869	11
X15499.11	cis	8455	ATRN	3471018	20
X15503.15	cis	7044	LEFTY2	225936598	1
X15503.20	cis	7044	LEFTY2	225936598	1
X15509.2	cis	4669	NAGLU	42536241	17
X15513.108	cis	5652	PRSS8	31131433	16
X15514.26	cis	590	BCHE	165772904	3
X15515.2	cis	6288	SAA1	18266260	11
X15516.12	cis	6291	SAA4	18231355	11
X15526.33	cis	2937	GSS	34928432	20
X15530.33	cis	2050	EPHB4	100802565	7
X15533.97	cis	4481	MSR1	16107878	8
X15544.25	cis	43847	KLK14	51077495	19
X15558.63	cis	2028	ENPEP	110365733	4
X15560.52	cis	6948	TCN2	30607003	22
X15562.24	cis	2990	GUSB	65960684	7
X15570.99	cis	1380	CR2	207453024	1
X15576.158	cis	6037	RNASE3	20891385	14
X15579.26	cis	133121	ENPP6	184088706	4
X15580.2	cis	2045	EPHA7	93240020	6
X15584.9	cis	3080	CFHR2	196943738	1
X15585.304	cis	10516	FBLN5	91869411	14
X15589.1	cis	2638	GC	71741696	4
X15591.28	cis	2876	GPX1	49357174	3
X15602.43	cis	3570	IL6R	154405193	1
X15613.16	cis	5406	PNLIP	116545931	10
X15614.168	cis	11027	LILRA2	54572920	19
X15615.8	cis	11025	LILRB3	54216278	19
X15617.8	cis	6846	XCL2	168540768	1
X15619.49	cis	4340	MOG	29657002	6
X15626.223	cis	3339	HSPG2	21822244	1
X15635.4	cis	64094	SMOC2	168441151	6
X15641.20	cis	8577	TMEFF1	100473149	9
X15644.1	cis	686	BTD	15601341	3
X15667.39	cis	652	BMP4	53949736	14
X15686.49	cis	3626	INHBC	57434784	12
X16055.3	cis	81494	CFHR5	196975010	1
X16057.6	cis	3482	IGF2R	159969082	6
X16060.99	cis	22795	NID2	52004809	14
X16300.4	cis	54209	TREM2	41158506	6
X16309.30	cis	27120	DKKL1	49361783	19
X16318.12	cis	94	ACVRL1	51906908	12
X16320.139	cis	51293	CD320	8302127	19
X16324.38	cis	7096	TLR1	38790677	4
X16558.2	cis	4653	MYOC	171635417	1
X16561.9	cis	1	A1BG	58345178	19
X16583.8	cis	318	NUDT2	34329506	9
X16606.85	cis	231	AKR1B1	134442356	7
X16613.3	cis	1015	CDH17	94127162	8
X16614.27	cis	284654	RSPO1	37611350	1
X16616.137	cis	2027	ENO3	4948092	17
X16620.26	cis	4065	LY75	159803355	2
X16621.77	cis	128240	NAXE	156591756	1
X16753.46	cis	1292	COL6A2	46098112	21
X16758.96	cis	3068	HDGF	156742109	1
X16763.11	cis	3950	LECT2	135922279	5
X16770.3	cis	5968	REG1B	79085023	2
X16773.29	cis	222663	SCUBE3	35213956	6
X16781.2	cis	64772	ENGASE	79074824	17
X16792.4	cis	8778	SIGLEC5	51610960	19
X16818.200	cis	64866	CDCP1	45082277	3
X16825.20	cis	4287	ATXN3	92044496	14
X16828.8	cis	1291	COL6A1	45981770	21
X16872.248	cis	2954	GSTZ1	77320996	14
X16890.37	cis	92949	ADAMTSL1	17906563	9
X16900.29	cis	266727	MDGA1	37630679	6
X16913.8	cis	8635	RNASET2	166922113	6
X16914.104	cis	929	CD14	140631728	5
X16916.19	cis	84189	SLITRK6	85792790	13
X16918.198	cis	7098	TLR3	186068911	4
X16927.9	trans|cis	2162|2165	F13A1|F13B	197038741	1
X17140.57	cis	80310	PDGFD	103907189	11
X17153.46	cis	3804	KIR2DL3	54738513	19
X17164.15	cis	307	ANXA4	69644425	2
X17170.15	cis	797	CALCB	14904997	11
X17224.12	cis	4969	OGN	92383268	9
X17231.1	cis	3936	LCP1	46125920	13
X17329.2	cis	56898	BDH2	103077592	4
X17331.138	cis	83999	KREMEN1	29073035	22
X17341.89	cis	39	ACAT2	159762045	6
X17350.13	cis	25978	CHMP2B	87227271	3
X17377.1	cis	8644	AKR1C3	5035354	10
X17398.55	cis	3162	HMOX1	35380361	22
X17447.52	cis	6424	SFRP4	37905932	7
X17455.42	cis	2348	FOLR1	72189558	11
X17456.53	cis	51280	GOLM1	86026146	9
X17460.51	cis	4599	MX1	41420020	21
X17513.11	cis	311	ANXA11	80150889	10
X17680.12	cis	2047	EPHB1	134795260	3
X17682.1	cis	4179	CD46	207752037	1
X17691.1	cis	1200	TPP1	6612768	11
X17692.2	cis	10384	BTN3A3	26440472	6
X17697.2	cis	124641	OVCA2	2042022	17
X17722.5	cis	2288	FKBP4	2794970	12
X17748.21	cis	9540	TP53I3	24077433	2
X17758.79	cis	51181	DCXR	82035136	17
X17766.5	cis	653361	NCF1	74774011	7
X17782.23	cis	30	ACAA1	38103129	3
X17792.158	cis	7915	ALDH5A1	24494867	6
X17794.6	cis	5373	PMM2	8788823	16
X17804.102	cis	55163	PNPO	47941506	17
X17808.37	cis	56954	NIT2	100334739	3
X17813.21	cis	670	BPHL	3118374	6
X17819.30	cis	81889	FAHD1	1826967	16
X18173.11	cis	22977	AKR7A3	19282573	1
X18186.15	cis	6897	TARS1	33440696	5
X18187.16	cis	443	ASPA	3472374	17
X18188.12	cis	2628	GATM	45361124	15
X18212.43	cis	2949	GSTM5	109711780	1
X18224.11	cis	5119	CHMP1A	89640816	16
X18225.13	cis	50865	HEBP1	12974870	12
X18231.147	cis	23627	PRND	4721909	20
X18235.16	cis	283871	PGP	2211593	16
X18240.6	cis	4975	OMP	77102840	11
X18280.29	cis	112487	DTD2	31446036	14
X18284.77	cis	23286	WWC1	168291645	5
X18285.6	cis	258010	SVIP	22813799	11
X18289.16	cis	6359	CCL15	35996440	17
X18313.4	cis	80150	ASRGL1	62337448	11
X18319.7	cis	8050	PDHX	34915829	11
X18330.7	cis	55276	PGM2	37826660	4
X18331.3	cis	2629	GBA1	155234452	1
X18338.26	cis	3417	IDH1	208236229	2
X18340.2	cis	5692	PSMB4	151399560	1
X18342.2	cis	29968	PSAT1	78297125	9
X18347.15	trans|trans|cis	3908|3912|3915	LAMA2|LAMB1|LAMC1	183023420	1
X18413.24	cis	379	ARL4D	43398993	17
X18819.21	cis	5480	PPIC	123023250	5
X18821.9	cis|cis	720|721	C4A|C4B	31998426	6
X18830.1	cis	55600	ITLN1	160876540	1
X18831.6	cis	26018	LRIG1	66378797	3
X18841.1	cis	5275	SERPINB13	63586989	18
X18864.7	cis	5646	PRSS3	33750679	9
X18871.24	cis	83543	AIF1L	131096476	9
X18878.15	cis	26585	GREM1	32718004	15
X18881.7	cis	976	ADGRE5	14380501	19
X18882.7	cis	64084	CLSTN2	139935185	3
X18887.7	cis	954	ENTPD2	137048107	9
X18893.26	cis	9289	ADGRG1	57610652	16
X18895.54	cis	2948	GSTM4	109656099	1
X18916.25	cis	3704	ITPA	3208868	20
X18922.27	cis	968	CD68	7579491	17
X19130.81	cis	5271	SERPINB8	63970029	18
X19135.5	cis	115024	NT5C3B	41825057	17
X19143.38	cis	51700	CYB5R2	7665100	11
X19161.1	cis	9958	USP15	62260338	12
X19173.5	cis	79752	ZFAND1	81701334	8
X19213.1	cis	27290	SPINK4	33218365	9
X19241.31	cis	83758	RBP5	7115736	12
X19254.125	cis	2766	GMPR	16238587	6
X19267.14	cis	3029	HAGH	1795620	16
X19277.4	cis	100131187	TSTD1	161037631	1
X19279.42	cis	5947	RBP1	139517434	3
X19311.15	cis	1427	CRYGS	186538441	3
X19317.114	cis	55	ACP3	132317369	3
X19347.37	cis	771	CA12	63321378	15
X19361.78	cis	4148	MATN3	19992052	2
X19365.11	cis	587	BCAT2	48795062	19
X19367.34	cis	1632	ECI1	2239402	16
X19377.14	cis	93145	OLFM2	9853718	19
X19388.2	cis	1010	CDH12	21750673	5
X19446.1	cis	51292	GMPR2	24232422	14
X19556.12	cis	1378	CR1	207496147	1
X19557.3	cis	152831	KLB	39406930	4
X19558.10	cis	4038	LRP4	46856717	11
X19590.46	cis	6441	SFTPD	79937467	10
X19614.8	cis	6947	TCN1	59852800	11
X19617.5	cis	22949	PTGR1	111549722	9
X19638.9	cis	5173	PDYN	1978757	20
X19743.12	cis	284415	VSTM1	54040825	19
X19748.3	cis	4597	MVD	88651935	16
X19768.13	cis	1476	CSTB	43772511	21
X19787.14	cis	10461	MERTK	111898607	2
X20055.40	cis	8854	ALDH1A2	57953424	15
X20067.26	cis	3026	HABP2	113550837	10
X20091.138	cis	1942	EFNA1	155127876	1
X20093.9	cis	7412	VCAM1	100719742	1
X20134.27	cis	8685	MARCO	118942194	2
X20203.45	cis	716	C1S	6988259	12
X20370.6	cis	97	ACYP1	75053237	14
X20378.110	cis	54585	LZTFL1	45823316	3
X20434.23	cis	654790	PCP4L1	161258745	1
X20457.13	cis	51287	COA4	73872667	11
X20512.2	cis	4162	MCAM	119308529	11
X20516.11	cis	55800	SCN3B	123629187	11
X20517.1	cis	1829	DSG2	31498177	18
X20521.83	cis	940	CD28	203706475	2
X20526.3	cis	154064	RAET1L	150018334	6
X20527.47	cis	54437	SEMA5B	122909082	3
X20533.39	trans|cis	3592|10148	IL12A|EBI3	4229523	19
X20536.11	cis	90952	ESAM	124752583	11
X20538.71	cis	114132	SIGLEC11	49948985	19
X20549.1	cis	113177	IZUMO4	2096429	19
X20568.3	cis	158326	FREM1	14737152	9
X20570.18	cis	284415	VSTM1	54040825	19
X20572.6	cis	10461	MERTK	111898607	2
X20576.71	cis	8324	FZD7	202033855	2
X20585.5	cis	146894	CD300LG	43847148	17
X20591.48	cis	342035	GLDN	51341655	15
X20921.1	cis	54810	GIPC2	77979542	1
X20923.10	cis	145553	MDP1	24213943	14
X20936.8	cis	128387	TATDN3	212791828	1
X20948.16	cis	131870	NUDT16	131381671	3
X20950.159	cis	56952	PRTFDC1	24848614	10
X21107.5	cis	51103	NDUFAF1	41387218	15
X21108.5	cis	55313	CPPED1	12659799	16
X21122.3	cis	55861	DBNDD2	45406057	20
X21154.8	cis	81617	CAB39L	49308650	13
X21163.21	cis	54662	TBC1D13	128787253	9
X21182.8	cis	116461	TSEN15	184051651	1
X21221.67	cis	5272	SERPINB9	2887270	6
X21229.5	cis	126259	TMIGD2	4292227	19
X21271.53	cis	1646	AKR1C2	4987775	10
X21331.19	cis	605	BCL7A	122019422	12
X21341.19	cis	29082	CHMP4A	24209615	14
X21384.2	cis	2517	FUCA1	23845077	1
X21390.68	cis	1638	DCT	94436811	13
X21391.17	cis	93659	CGB5	49043848	19
X21397.21	cis	283659	PRTG	55611544	15
X21433.3	cis	11118	BTN3A2	26365159	6
X21437.77	cis	4255	MGMT	129467190	10
X21439.37	cis	3059	HCLS1	121631399	3
X21441.20	cis	7306	TYRP1	12685439	9
X21491.7	cis	8639	AOC3	42851184	17
X21492.19	cis	27098	CLUL1	596988	18
X21498.3	cis	501	ALDH7A1	126531200	5
X21503.12	cis	7253	TSHR	80954989	14
X21509.29	cis	83468	GLT8D2	103988987	12
X21533.51	cis	4046	LSP1	1850904	11
X21537.33	cis	51540	SCLY	238060924	2
X21546.20	cis	283383	ADGRD1	130953907	12
X21547.6	cis	56975	FAM20C	192571	7
X21548.20	cis	2687	GGT5	24219654	22
X21549.144	cis	6975	TECTB	112283400	10
X21552.9	cis	51	ACOX1	75941507	17
X21567.214	cis	114900	C1QTNF4	47589667	11
X21661.82	cis	56975	FAM20C	192571	7
X21676.17	cis	5055	SERPINB2	63871692	18
X21681.10	cis	10863	ADAM28	24294069	8
X21688.50	cis|trans	3676|3688	ITGA4|ITGB1	181457202	2
X21698.11	cis|trans	22801|3688	ITGA11|ITGB1	68296532	15
X21705.33	cis	284207	METRNL	83079609	17
X21706.29	cis	11024	LILRA1	54593582	19
X21708.149	cis	2217	FCGRT	49506816	19
X21713.11	cis	5649	RELN	103471381	7
X21722.21	cis	8693	GALNT4	89519412	12
X21724.22	cis	2588	GALNS	88813734	16
X21734.36	cis|trans	56913|29071	C1GALT1|C1GALT1C1	7156934	7
X21736.60	cis	9653	HS2ST1	86914635	1
X21737.20	cis	84620	ST6GAL2	106801600	2
X21766.50	cis	6448	SGSH	80206716	17
X21767.129	cis	79623	GALNT14	30910467	2
X21781.9	cis	91703	ACY3	67642555	11
X21797.4	cis	3107	HLA-C	31268749	6
X2182.54	cis|cis	720|721	C4A|C4B	31998426	6
X21853.3	cis	51267	CLEC1A	10069554	12
X21889.2	cis	79017	GGCT	30496621	7
X21891.31	cis	129804	FBLN7	112138385	2
X2190.55	cis	2160	F11	186266189	4
X21943.170	cis	51384	WNT16	121325367	7
X21945.4	cis	81029	WNT5B	1529891	12
X21999.61	cis	4925	NUCB2	17208153	11
X2201.17	cis	80781	COL18A1	45405165	21
X22129.55	cis	80237	ELL3	43772605	15
X22381.1	cis	51110	LACTB2	70635318	8
X22430.15	cis	1123	CHN1	174798809	2
X22576.1	cis	30835	CD209	7739993	19
X22576.2	cis	30835	CD209	7739993	19
X22583.47	cis	80328	ULBP2	149942014	6
X22586.24	cis	10385	BTN2A2	26383096	6
X2278.61	cis	7077	TIMP2	78852977	17
X22950.6	cis	10384	BTN3A3	26440472	6
X22955.28	cis	5947	RBP1	139517434	3
X22959.32	cis	27121	DKK4	42374063	8
X22960.8	cis	2213	FCGR2B	161663143	1
X22961.7	cis	2219	FCN1	134903232	9
X22972.26	cis	2920	CXCL2	74097040	4
X22989.24	cis	8825	LIN7A	80792520	12
X23017.17	cis	57333	RCN3	49528003	19
X23018.4	cis	5968	REG1B	79085023	2
X23028.49	cis	27111	SDCBP2	1309909	20
X23030.4	cis	8778	SIGLEC5	51610960	19
X23148.100	cis	9388	LIPG	49560699	18
X23178.95	cis	3176	HNMT	137964020	2
X23257.14	cis	51397	COMMD10	116085016	5
X23296.29	cis	6425	SFRP5	97766751	10
X23317.10	cis	79154	DHRS11	36591879	17
X23323.25	cis	338599	DUSP29	75037472	10
X23326.10	cis	2939	GSTA2	52750087	6
X23340.37	cis	84245	MRI1	13764522	19
X23371.5	cis	60491	NIF3L1	200889327	2
X23380.16	cis	112849	L3HYPDH	59460363	14
X23389.28	cis	51011	FAHD2A	95402708	2
X23408.1	cis	64089	SNX16	81799581	8
X23416.47	cis	29907	SNX15	65027439	11
X23521.29	cis	29922	NME7	169132531	1
X23528.199	cis	84457	PHYHIPL	59176643	10
X23541.61	cis	171425	CLYBL	99606669	13
X23543.92	cis	142940	TRUB1	114938195	10
X23566.6	cis	23780	APOL2	36226209	22
X23569.53	cis	10809	STARD10	72754729	11
X23580.2	cis	222171	PRR15	29563835	7
X23588.9	cis	84263	HSDL2	112380080	9
X23597.11	cis	3268	AGFG2	100539203	7
X23666.35	cis	471	ATIC	215311956	2
X23903.3	cis	2806	GOT2	58707131	16
X24023.35	cis	10544	PROCR	35172072	20
X2418.55	cis	348	APOE	44905791	19
X24215.8	cis	5396	PRRX1	170662728	1
X24216.30	cis	28971	AAMDC	77821109	11
X24409.2	cis	112724	RDH13	55039108	19
X24447.26	cis	340277	FAM221A	23680130	7
X24470.20	cis	54039	PCBP3	45643694	21
X24472.28	cis	81858	SHARPIN	144098633	8
X24474.12	cis	23508	TTC9	70641916	14
X24490.16	cis	51078	THAP4	241584405	2
X24647.3	cis	10930	APOBEC2	41053202	6
X24659.6	cis	374407	DNAJB13	73951026	11
X24664.3	cis	284361	EMC10	50476400	19
X24684.7	cis	55303	GIMAP4	150567369	7
X24685.12	cis	29916	SNX11	48103357	17
X24693.5	cis	9022	CLIC3	136994608	9
X24695.8	cis	58473	PLEKHB1	73646178	11
X24717.26	cis	5524	PTPA	129110950	9
X2475.1	cis	3815	KIT	54657267	4
X24902.84	cis	10243	GPHN	66507407	14
X2501.51	cis	999	CDH1	68737292	16
X25060.18	cis	4199	ME1	83210402	6
X25070.18	cis	64780	MICAL1	109444062	6
X25072.11	cis	9557	CHD1L	147242654	1
X25233.2	cis	4351	MPI	74890005	15
X2571.12	cis	3486	IGFBP3	45912245	7
X2573.20	cis	3569	IL6	22725884	7
X2578.67	cis	6347	CCL2	34255274	17
X2590.69	cis	4919	ROR1	63774017	1
X2605.49	cis	943	TNFRSF8	12063303	1
X2614.28	cis	1945	EFNA4	155063737	1
X2617.56	cis	2065	ERBB3	56076799	12
X2630.12	cis	3556	IL1RAP	190514051	3
X2631.50	cis	3588	IL10RB	33266367	21
X2635.61	cis	143903	LAYN	111540280	11
X2637.77	cis	4360	MRC1	17809348	10
X2638.12	cis	1436	CSF1R	150053291	5
X2652.15	cis	5329	PLAUR	43646095	19
X2666.53	cis	1634	DCN	91140484	12
X2677.1	cis	1956	EGFR	55019017	7
X2681.23	cis	3082	HGF	81699010	7
X2687.2	cis	8190	MIA	40771648	19
X2692.74	cis	5320	PLA2G2A	19975431	1
X2696.87	cis	5623	PSPN	6375148	19
X2730.58	cis	100507436	MICA	31400711	6
X2731.29	cis	5447	POR	75899200	7
X2737.22	cis	4856	CCN3	119416446	8
X2742.68	cis	27036	SIGLEC7	51142299	19
X2747.3	cis	79465	ULBP3	150061053	6
X2762.30	cis	9965	FGF19	69698238	11
