Analytes	ENSG_ID	Gene	Start	End	CHR	SeqId	SeqIdVersion	SomaId	TargetFullName	Target	UniProt	EntrezGeneID	EntrezGeneSymbol	NormGroup	Strand	Type
X10044.12	ENSG00000135925	WNT10A	218880852	218899581	2	10044-12	3	SL012823	Protein Wnt-10a	WN10A	Q9GZT5	80326	WNT10A	S1	1	protein_coding
X10045.47	ENSG00000036257	CUL3	224470150	224585397	2	10045-47	3	SL010989	Cullin-3	CUL3	Q13618	8452	CUL3	S2	-1	protein_coding
X10046.55	ENSG00000110330	BIRC2	102347211	102378670	11	10046-55	3	SL003727	Baculoviral IAP repeat-containing protein 2	cIAP-1	Q13490	329	BIRC2	S1	1	protein_coding
X10047.12	ENSG00000116701	NCF2	183554461	183590905	1	10047-12	3	SL004553	Neutrophil cytosol factor 2	NCF-2	P19878	4688	NCF2	S2	-1	protein_coding
X10048.7	ENSG00000067955	CBFB	67028984	67101058	16	10048-7	3	SL011998	Core-binding factor subunit beta	PEBB	Q13951	865	CBFB	S2	1	protein_coding
X10049.112	ENSG00000147601	TERF1	73008856	73048123	8	10049-112	3	SL019242	Telomeric repeat-binding factor 1	TERF1	P54274	7013	TERF1	S1	1	protein_coding
X10053.5	ENSG00000166333	ILK	6603708	6610874	11	10053-5	3	SL004474	Integrin-linked protein kinase	ILK1	Q13418	3611	ILK	S2	1	protein_coding
X10054.3	ENSG00000261609	GAN	81314944	81390884	16	10054-3	3	SL019232	Gigaxonin	GAN	Q9H2C0	8139	GAN	S1	1	protein_coding
X10056.5	ENSG00000111206	FOXM1	2857680	2877174	12	10056-5	3	SL007372	Forkhead box protein M1	FOXM1	Q08050	2305	FOXM1	S2	-1	protein_coding
X10058.1	ENSG00000179262	RAD23A	12945855	12953642	19	10058-1	3	SL013796	UV excision repair protein RAD23 homolog A	RD23A	P54725	5886	RAD23A	S2	1	protein_coding
X10063.10	ENSG00000115392	FANCL	58159243	58241410	2	10063-10	3	SL019237	E3 ubiquitin-protein ligase FANCL	FANCL	Q9NW38	55120	FANCL	S1	-1	protein_coding
X10064.12	ENSG00000089050	RBBP9	18486540	18497225	20	10064-12	3	SL011550	Putative hydrolase RBBP9	RBBP9	O75884	10741	RBBP9	S2	-1	protein_coding
X10069.2	ENSG00000127445	PIN1	9835257	9849689	19	10069-2	3	SL013908	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	PIN1	Q13526	5300	PIN1	S1	1	protein_coding
X10070.22	ENSG00000197943	PLCG2	81738248	81962685	16	10070-22	3	SL016406	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2	PLCG2	P16885	5336	PLCG2	S1	1	protein_coding
X10073.22	ENSG00000042088	TDP1	89954939	90044764	14	10073-22	3	SL011411	Tyrosyl-DNA phosphodiesterase 1	TYDP1	Q9NUW8	55775	TDP1	S2	1	protein_coding
X10074.128	ENSG00000204256	BRD2	32968594	32981505	6	10074-128	3	SL014748	Bromodomain-containing protein 2	BRD2	P25440	6046	BRD2	S1	1	protein_coding
X10075.75	ENSG00000230124	ACBD6	180269653	180502954	1	10075-75	3	SL019254	Acyl-CoA-binding domain-containing protein 6	ACBD6	Q9BR61	84320	ACBD6	S1	-1	protein_coding
X10076.1	ENSG00000221838	AP4M1	100100858	100110345	7	10076-1	3	SL019225	AP-4 complex subunit mu-1	AP4M1	O00189	9179	AP4M1	S1	1	protein_coding
X10078.5	ENSG00000151929	BAG3	119651380	119677819	10	10078-5	3	SL007063	BAG family molecular chaperone regulator 3	BAG3	O95817	9531	BAG3	S1	1	protein_coding
X10080.9	ENSG00000111361	EIF2B1	123620406	123633766	12	10080-9	3	SL019240	Translation initiation factor eIF-2B subunit alpha	EI2BA	Q14232	1967	EIF2B1	S2	-1	protein_coding
X10081.17	ENSG00000119042	SATB2	199269505	199471266	2	10081-17	3	SL019243	DNA-binding protein SATB2	SATB2	Q9UPW6	23314	SATB2	S1	-1	protein_coding
X10082.251	ENSG00000277586	NEFL	24950955	24956721	8	10082-251	3	SL019251	Neurofilament light polypeptide	NFL	P07196	4747	NEFL	S2	-1	protein_coding
X10085.25	ENSG00000147465	STAR	38142700	38150992	8	10085-25	3	SL001714	Steroidogenic acute regulatory protein, mitochondrial	STAR	P49675	6770	STAR	S2	-1	protein_coding
X10086.39	ENSG00000160200	CBS	43053191	43076943	21	10086-39	3	SL018882	Cystathionine beta-synthase	CBS	P35520	102724560	CBS	S1	-1	protein_coding
X10087.10	ENSG00000160202	CRYAA	43169008	43172810	21	10087-10	3	SL003675	Alpha-crystallin A chain	Alpha crystallin A chain	P02489	102724652	CRYAA	S1	1	protein_coding
X10088.37	ENSG00000198931	APRT	88809339	88811937	16	10088-37	3	SL008014	Adenine phosphoribosyltransferase	APT	P07741	353	APRT	S1	-1	protein_coding
X10089.7	ENSG00000292339	ASMTL	1403139	1453762	Y	10089-7	3	SL019244	N-acetylserotonin O-methyltransferase-like protein	ASML	O95671	8623	ASMTL	S1	-1	protein_coding
X10336.3	ENSG00000103266	STUB1	680224	682870	16	10336-3	3	SL019100	E3 ubiquitin-protein ligase CHIP	CHIP	Q9UNE7	10273	STUB1	S2	1	protein_coding
X10339.48	ENSG00000111674	ENO2	6913745	6923698	12	10339-48	3	SL001731	Gamma-enolase	NSE	P09104	2026	ENO2	S2	1	protein_coding
X10342.55	ENSG00000105229	PIAS4	4007736	4039386	19	10342-55	3	SL019096	E3 SUMO-protein ligase PIAS4	PIAS4	Q8N2W9	51588	PIAS4	S1	1	protein_coding
X10344.334	ENSG00000110324	IL10RA	117986370	118003037	11	10344-334	3	SL005173	Interleukin-10 receptor subunit alpha	IL-10 Ra	Q13651	3587	IL10RA	S2	1	protein_coding
X10346.5	ENSG00000168610	STAT3	42313324	42388568	17	10346-5	3	SL007221	Signal transducer and activator of transcription 3	STAT3	P40763	6774	STAT3	S2	-1	protein_coding
X10351.51	ENSG00000125347	IRF1	132440440	132508719	5	10351-51	3	SL007108	Interferon regulatory factor 1	IRF1	P10914	3659	IRF1	S2	-1	protein_coding
X10354.57	ENSG00000168610	STAT3	42313324	42388568	17	10354-57	3	SL007221	Signal transducer and activator of transcription 3	STAT3	P40763	6774	STAT3	S2	-1	protein_coding
X10356.21	ENSG00000177606	JUN	58776845	58784048	1	10356-21	3	SL000455	Transcription factor AP-1	c-Jun	P05412	3725	JUN	S1	-1	protein_coding
X10361.25	ENSG00000089127	OAS1	112905856	112933219	12	10361-25	3	SL014684	2'-5'-oligoadenylate synthase 1	OAS1	P00973	4938	OAS1	S1	1	protein_coding
X10362.35	ENSG00000136997	MYC	127735434	127742951	8	10362-35	3	SL002565	Myc proto-oncogene protein	c-Myc	P01106	4609	MYC	S1	1	protein_coding
X10363.13	ENSG00000166949	SMAD3	67063763	67195173	15	10363-13	3	SL004097	Mothers against decapentaplegic homolog 3	SMAD3	P84022	4088	SMAD3	S2	1	protein_coding
X10364.6	ENSG00000175387	SMAD2	47808957	47931146	18	10364-6	3	SL004101	Mothers against decapentaplegic homolog 2	SMAD2	Q15796	4087	SMAD2	S1	-1	protein_coding
X10365.132	ENSG00000113302	IL12B	159314780	159330863	5	10365-132	3	SL005184	Interleukin-23	IL-23	P29460|Q9NPF7	3593	IL12B|IL23A	S1	-1	protein_coding
X10365.132	ENSG00000110944	IL23A	56334174	56340410	12	10365-132	3	SL005184	Interleukin-23	IL-23	P29460|Q9NPF7	51561	IL12B|IL23A	S1	1	protein_coding
X10366.11	ENSG00000134853	PDGFRA	54229280	54298245	4	10366-11	3	SL001728	Platelet-derived growth factor receptor alpha	PDGFRA	P16234	5156	PDGFRA	S2	1	protein_coding
X10367.62	ENSG00000168811	IL12A	159988835	159996019	3	10367-62	3	SL001716	Interleukin-12	IL-12	P29459|P29460	3592	IL12A|IL12B	S1	1	protein_coding
X10367.62	ENSG00000113302	IL12B	159314780	159330863	5	10367-62	3	SL001716	Interleukin-12	IL-12	P29459|P29460	3593	IL12A|IL12B	S1	-1	protein_coding
X10370.21	ENSG00000115415	STAT1	190908460	191020960	2	10370-21	3	SL004396	Signal transducer and activator of transcription 1-alpha/beta	STAT1	P42224	6772	STAT1	S2	-1	protein_coding
X10372.18	ENSG00000166888	STAT6	57095408	57132139	12	10372-18	3	SL007229	Signal transducer and activator of transcription 6	STAT6	P42226	6778	STAT6	S2	-1	protein_coding
X10382.1	ENSG00000132855	ANGPTL3	62597520	62606313	1	10382-1	3	SL006803	Angiopoietin-related protein 3	ANGL3	Q9Y5C1	27329	ANGPTL3	S2	1	protein_coding
X10390.21	ENSG00000183579	ZNRF3	28883572	29057488	22	10390-21	3	SL018971	E3 ubiquitin-protein ligase ZNRF3	ZNRF3	Q9ULT6	84133	ZNRF3	S1	1	protein_coding
X10391.1	ENSG00000132855	ANGPTL3	62597520	62606313	1	10391-1	3	SL006803	Angiopoietin-related protein 3	ANGL3	Q9Y5C1	27329	ANGPTL3	S2	1	protein_coding
X10396.6	ENSG00000143384	MCL1	150560895	150579738	1	10396-6	3	SL003755	Induced myeloid leukemia cell differentiation protein Mcl-1	Mcl-1	Q07820	4170	MCL1	S2	-1	protein_coding
X10398.110	ENSG00000148677	ANKRD1	90912096	90921087	10	10398-110	3	SL019275	Ankyrin repeat domain-containing protein 1	ANKR1	Q15327	27063	ANKRD1	S1	-1	protein_coding
X10418.36	ENSG00000117758	STX12	27773219	27824443	1	10418-36	3	SL011111	Syntaxin-12	STX12	Q86Y82	23673	STX12	S2	1	protein_coding
X10419.1	ENSG00000168079	SCARA5	27869883	27992673	8	10419-1	3	SL014110	Scavenger receptor class A member 5	SCAR5	Q6ZMJ2	286133	SCARA5	S1	-1	protein_coding
X10420.30	ENSG00000158234	FAIM	138608606	138633376	3	10420-30	3	SL018037	Fas apoptotic inhibitory molecule 1	FAIM1	Q9NVQ4	55179	FAIM	S1	1	protein_coding
X10424.31	ENSG00000107281	NPDC1	137039463	137046179	9	10424-31	3	SL015264	Neural proliferation differentiation and control protein 1	NPDC1	Q9NQX5	56654	NPDC1	S2	-1	protein_coding
X10425.3	ENSG00000158470	B4GALT5	49632945	49713878	20	10425-3	3	SL017972	Beta-1,4-galactosyltransferase 5	B4GT5	O43286	9334	B4GALT5	S1	-1	protein_coding
X10426.21	ENSG00000108433	GOSR2	46923075	46975524	17	10426-21	3	SL018004	Golgi SNAP receptor complex member 2	GOSR2	O14653	9570	GOSR2	S1	1	protein_coding
X10428.1						10428-1	3	SL018045	Killer cell immunoglobulin-like receptor 2DS2	KI2S2	P43631	100132285	KIR2DS2	S2		
X10430.31	ENSG00000168003	SLC3A2	62856004	62888880	11	10430-31	3	SL025780	4F2 cell-surface antigen heavy chain:Cytoplasmic domain	4F2:CD	P08195	6520	SLC3A2	S1	1	protein_coding
X10432.3	ENSG00000138944	SHISAL1	44243665	44312951	22	10432-3	3	SL018002	Uncharacterized protein KIAA1644	K1644	Q3SXP7	85352	SHISAL1	S1	-1	protein_coding
X10435.2	ENSG00000038002	AGA	177430774	177442437	4	10435-2	3	SL008645	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase	ASPG	P20933	175	AGA	S2	-1	protein_coding
X10438.19	ENSG00000292357	CSF2RA	1268793	1325373	Y	10438-19	3	SL007128	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha	CSF2R	P15509	1438	CSF2RA	S2	1	protein_coding
X10439.57	ENSG00000240038	AMY2B	103553815	103579534	1	10439-57	3	SL005393	Alpha-amylase 2B	Alpha-amylase 2B	P19961	280	AMY2B	S1	1	protein_coding
X10440.26	ENSG00000166250	CLMP	123069872	123195291	11	10440-26	3	SL025782	CXADR-like membrane protein:Extracellular domain	ACAM:ECD	Q9H6B4	79827	CLMP	S2	-1	protein_coding
X10442.1	ENSG00000160472	TMEM190	55376826	55378246	19	10442-1	3	SL018089	Transmembrane protein 190	TM190	Q8WZ59	147744	TMEM190	S1	1	protein_coding
X10445.20	ENSG00000204444	APOM	31652416	31658210	6	10445-20	3	SL004747	Apolipoprotein M	ApoM	O95445	55937	APOM	S2	1	protein_coding
X10447.18	ENSG00000151846	PABPC3	25096136	25099254	13	10447-18	3	SL018138	Polyadenylate-binding protein 3	PABP3	Q9H361	5042	PABPC3	S2	1	protein_coding
X10449.31	ENSG00000180730	SHISA2	26044597	26052016	13	10449-31	3	SL008887	Protein shisa-2 homolog	TMM46	Q6UWI4	387914	SHISA2	S1	-1	protein_coding
X10451.11	ENSG00000104805	NUCB1	48900050	48923473	19	10451-11	3	SL008914	Nucleobindin-1	NUCB1	Q02818	4924	NUCB1	S2	1	protein_coding
X10453.7	ENSG00000273777	CEACAM20	44501677	44529788	19	10453-7	3	SL018233	Carcinoembryonic antigen-related cell adhesion molecule 20	CEA20	Q6UY09	125931	CEACAM20	S1	-1	protein_coding
X10454.99	ENSG00000116138	DNAJC16	15526813	15592379	1	10454-99	3	SL018290	DnaJ homolog subfamily C member 16	DJC16	Q9Y2G8	23341	DNAJC16	S1	1	protein_coding
X10455.196	ENSG00000204671	IL31	122172029	122174221	12	10455-196	3	SL004678	Interleukin-31	IL-31	Q6EBC2	386653	IL31	S1	-1	protein_coding
X10457.3	ENSG00000115607	IL18RAP	102418689	102452565	2	10457-3	3	SL004861	Interleukin-18 receptor accessory protein	IL-18 Rb	O95256	8807	IL18RAP	S1	1	protein_coding
X10460.1	ENSG00000133063	CHIT1	203212827	203273641	1	10460-1	3	SL006029	Chitotriosidase-1	Chitotriosidase-1	Q13231	1118	CHIT1	S2	-1	protein_coding
X10462.14	ENSG00000172410	INSL5	66797740	66801276	1	10462-14	3	SL012880	Insulin-like peptide INSL5	INSL5	Q9Y5Q6	10022	INSL5	S1	-1	protein_coding
X10463.23	ENSG00000163295	ALPI	232456125	232460753	2	10463-23	3	SL002514	Intestinal-type alkaline phosphatase	Alkaline phosphatase, intestine	P09923	248	ALPI	S2	1	protein_coding
X10464.6	ENSG00000169604	ANTXR1	69013176	69249327	2	10464-6	3	SL008696	Anthrax toxin receptor 1	ANTR1	Q9H6X2	84168	ANTXR1	S1	1	protein_coding
X10470.34	ENSG00000153066	TXNDC11	11679083	11742857	16	10470-34	3	SL026024	Thioredoxin domain-containing protein 11:C-term	TXD11:N-term	Q6PKC3	51061	TXNDC11	S1	-1	protein_coding
X10472.53	ENSG00000157873	TNFRSF14	2555639	2565382	1	10472-53	3	SL004145	Tumor necrosis factor receptor superfamily member 14	HVEM	Q92956	8764	TNFRSF14	S1	1	protein_coding
X10473.2	ENSG00000160181	TFF2	42346357	42350997	21	10473-2	3	SL002602	Trefoil factor 2	Trefoil factor 2	Q03403	7032	TFF2	S1	-1	protein_coding
X10479.18	ENSG00000166670	MMP10	102770502	102780628	11	10479-18	3	SL000645	Stromelysin-2	MMP-10	P09238	4319	MMP10	S2	-1	protein_coding
X10480.33	ENSG00000085063	CD59	33703010	33736479	11	10480-33	3	SL004557	CD59 glycoprotein	CD59	P13987	966	CD59	S1	-1	protein_coding
X10485.56	ENSG00000147381	MAGEA4	151912495	151925171	X	10485-56	3	SL005064	Melanoma-associated antigen 4	MAGE-4	P43358	4103	MAGEA4	S2	1	protein_coding
X10490.3	ENSG00000163902	RPN1	128619969	128681075	3	10490-3	3	SL025976	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1:Cytoplasmic domain	RPN1:CD	P04843	6184	RPN1	S2	-1	protein_coding
X10496.11	ENSG00000016490	CLCA1	86468368	86500259	1	10496-11	3	SL009322	Calcium-activated chloride channel regulator 1	CaCC	A8K7I4	1179	CLCA1	S2	1	protein_coding
X10499.1	ENSG00000184988	TMEM106A	43211835	43220041	17	10499-1	3	SL008733	Transmembrane protein 106A	T106A	Q96A25	113277	TMEM106A	S2	1	protein_coding
X10505.12	ENSG00000108375	RNF43	58353676	58417595	17	10505-12	3	SL018629	E3 ubiquitin-protein ligase RNF43	RNF43	Q68DV7	54894	RNF43	S1	-1	protein_coding
X10506.53	ENSG00000164040	PGRMC2	128269237	128288829	4	10506-53	3	SL007962	Membrane-associated progesterone receptor component 2	PGRC2	O15173	10424	PGRMC2	S2	-1	protein_coding
X10507.166	ENSG00000134940	ACRV1	125671522	125680874	11	10507-166	3	SL009308	Acrosomal protein SP-10	sperm protein 10	P26436	56	ACRV1	S1	-1	protein_coding
X10510.62	ENSG00000161929	SCIMP	5208920	5234860	17	10510-62	3	SL018612	SLP adapter and CSK-interacting membrane protein	SCIMP	Q6UWF3	388325	SCIMP	S1	-1	protein_coding
X10511.10	ENSG00000163359	COL6A3	237324003	237414328	2	10511-10	3	SL025821	Collagen alpha-3(VI) chain:isoform 3	Collagen alpha-3(VI):isoform 3	P12111	1293	COL6A3	S2	-1	protein_coding
X10512.13	ENSG00000100368	CSF2RB	36913628	36940439	22	10512-13	3	SL025888	Cytokine receptor common subunit beta:Extracellular domain	IL3RB:ECD	P32927	1439	CSF2RB	S1	1	protein_coding
X10513.13	ENSG00000115041	KCNIP3	95297327	95386077	2	10513-13	3	SL018613	Calsenilin	CSEN	Q9Y2W7	30818	KCNIP3	S1	1	protein_coding
X10514.5	ENSG00000107317	PTGDS	136975092	136981742	9	10514-5	3	SL005360	Prostaglandin-H2 D-isomerase	PGD2 synthase	P41222	5730	PTGDS	S3	1	protein_coding
X10521.10	ENSG00000162576	MXRA8	1352689	1361777	1	10521-10	3	SL025939	Matrix-remodeling-associated protein 8:Extracellular domain	MXRA8:ECD	Q9BRK3	54587	MXRA8	S2	-1	protein_coding
X10527.22	ENSG00000135829	DHX9	182839347	182887982	1	10527-22	3	SL013075	ATP-dependent RNA helicase A	DHX9	Q08211	1660	DHX9	S2	1	protein_coding
X10528.2	ENSG00000015413	DPEP1	89613308	89638456	16	10528-2	3	SL008734	Dipeptidase 1	DPEP1	P16444	1800	DPEP1	S1	1	protein_coding
X10530.8	ENSG00000142507	PSMB6	4796144	4798502	17	10530-8	3	SL016414	Proteasome subunit beta type-6	PSB6	P28072	5694	PSMB6	S1	1	protein_coding
X10531.18	ENSG00000213281	NRAS	114704469	114716771	1	10531-18	3	SL010845	GTPase NRas	RASN	P01111	4893	NRAS	S2	-1	protein_coding
X10534.40	ENSG00000143799	PARP1	226360210	226408154	1	10534-40	3	SL025953	Poly [ADP-ribose] polymerase 1:BRCA1 C-terminal:BRCA1 C-terminus domian	PARP:BRCT domain	P09874	142	PARP1	S1	-1	protein_coding
X10535.25	ENSG00000156885	COX6A2	31427731	31428360	16	10535-25	3	SL018731	Cytochrome c oxidase subunit 6A2, mitochondrial	CX6A2	Q02221	1339	COX6A2	S2	-1	protein_coding
X10539.30	ENSG00000102181	CD99L2	150766336	150898816	X	10539-30	3	SL014293	CD99 antigen-like protein 2	C99L2	Q8TCZ2	83692	CD99L2	S2	-1	protein_coding
X10546.2	ENSG00000175894	TSPEAR	44497893	44711572	21	10546-2	3	SL012744	Thrombospondin-type laminin G domain and EAR repeat-containing protein	TSEAR	Q8WU66	54084	TSPEAR	S2	-1	protein_coding
X10550.37	ENSG00000138696	BMPR1B	94757955	95158448	4	10550-37	3	SL004132	Bone morphogenetic protein receptor type-1B	BMP RIB	O00238	658	BMPR1B	S1	1	protein_coding
X10551.7	ENSG00000213658	LAT	28984826	28990784	16	10551-7	3	SL007008	Linker for activation of T-cells family member 1	LAT	O43561	27040	LAT	S2	1	protein_coding
X10552.88	ENSG00000183542	KLRC4	10403059	10409757	12	10552-88	3	SL017983	NKG2-F type II integral membrane protein	NKG2F	O43908	8302	KLRC4	S1	-1	protein_coding
X10553.8	ENSG00000169905	TOR1AIP2	179839967	179877803	1	10553-8	3	SL017988	Torsin-1A-interacting protein 2	TOIP2	Q8NFQ8	163590	TOR1AIP2	S2	-1	protein_coding
X10554.23	ENSG00000170266	GLB1	32996609	33097202	3	10554-23	3	SL009072	Beta-galactosidase	BGAL	P16278	2720	GLB1	S2	-1	protein_coding
X10557.6	ENSG00000153495	TEX29	111316184	111344249	13	10557-6	3	SL018003	Testis-expressed sequence 29 protein	TEX29	Q8N6K0	121793	TEX29	S2	1	protein_coding
X10558.26	ENSG00000184226	PCDH9	66302834	67230445	13	10558-26	3	SL008436	Protocadherin-9	PCDH9	Q9HC56	5101	PCDH9	S2	-1	protein_coding
X10560.1	ENSG00000135916	ITM2C	230864639	230879248	2	10560-1	3	SL025895	Integral membrane protein 2C:N-term	ITM2C:N-term	Q9NQX7	81618	ITM2C	S1	1	protein_coding
X10561.5	ENSG00000159527	PGLYRP3	153297116	153312952	1	10561-5	3	SL004512	Peptidoglycan recognition protein 3	PGRP-I-alpha	Q96LB9	114771	PGLYRP3	S1	-1	protein_coding
X10562.42	ENSG00000171208	NETO2	47077703	47143945	16	10562-42	3	SL015086	Neuropilin and tolloid-like protein 2	NETO2	Q8NC67	81831	NETO2	S2	-1	protein_coding
X10563.13	ENSG00000176018	LYSMD3	90515611	90529584	5	10563-13	3	SL018021	LysM and putative peptidoglycan-binding domain-containing protein 3	LYSM3	Q7Z3D4	116068	LYSMD3	S1	-1	protein_coding
X10565.19	ENSG00000121871	SLITRK3	165186720	165197109	3	10565-19	3	SL017951	SLIT and NTRK-like protein 3	SLIK3	O94933	22865	SLITRK3	S2	-1	protein_coding
X10569.28	ENSG00000117122	MFAP2	16974502	16980632	1	10569-28	3	SL012443	Microfibrillar-associated protein 2	MFAP2	P55001	4237	MFAP2	S2	-1	protein_coding
X10571.14	ENSG00000131446	MGAT1	180784780	180815652	5	10571-14	3	SL018096	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	MGAT1	P26572	4245	MGAT1	S1	-1	protein_coding
X10572.65	ENSG00000125815	CST8	23491101	23496010	20	10572-65	3	SL012372	Cystatin-8	CST8	O60676	10047	CST8	S2	1	protein_coding
X10574.10	ENSG00000166710	B2M	44711358	44718851	15	10574-10	3	SL000283	Beta-2-microglobulin	b2-Microglobulin	P61769	567	B2M	S2	1	protein_coding
X10575.31	ENSG00000179950	PUF60	143816344	143830709	8	10575-31	3	SL018139	Poly(U)-binding-splicing factor PUF60	PUF60	Q9UHX1	22827	PUF60	S2	-1	protein_coding
X10576.7	ENSG00000120594	PLXDC2	19816239	20289856	10	10576-7	3	SL025965	Plexin domain-containing protein 2:Extracellular domain	PXDC2:ECD	Q6UX71	84898	PLXDC2	S2	1	protein_coding
X10580.14	ENSG00000196260	SFTA2	30931353	30955636	6	10580-14	3	SL012586	Surfactant-associated protein 2	SFTA2	Q6UW10	389376	SFTA2	S1	-1	protein_coding
X10582.36	ENSG00000185900	POMK	43093498	43131180	8	10582-36	3	SL018286	Protein O-mannose kinase	SG196	Q9H5K3	84197	POMK	S2	1	protein_coding
X10583.1	ENSG00000144868	TMEM108	133038391	133397775	3	10583-1	3	SL018282	Transmembrane protein 108	TM108	Q6UXF1	66000	TMEM108	S1	1	protein_coding
X10584.7	ENSG00000164258	NDUFS4	53560633	53683338	5	10584-7	3	SL018289	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	NDUS4	O43181	4724	NDUFS4	S1	1	protein_coding
X10588.39	ENSG00000115525	ST3GAL5	85837120	85905199	2	10588-39	3	SL011395	Lactosylceramide alpha-2,3-sialyltransferase	SIAT9	Q9UNP4	8869	ST3GAL5	S1	-1	protein_coding
X10589.7	ENSG00000155918	RAET1L	150018334	150025532	6	10589-7	3	SL018354	Retinoic acid early transcript 1L protein	RET1L	Q5VY80	154064	RAET1L	S2	-1	protein_coding
